"spec","max_rhat","n_params_above_halt","min_ess_bulk","min_ess_tail","verdict"
"baseline_train",1.00631617386135,0,852.373555747792,3258.70696654879,"PASS"
"primary",1.00738217740059,0,1109.42567525976,2818.8494146047,"PASS"
"sensitivity",1.00228982477921,0,2560.32445252568,4782.79188017547,"PASS"
"primary_drop_t1",1.00602487416979,0,1137.05918180405,3130.02927285502,"PASS"
"primary_drop_t2",1.00379390359433,0,951.796392428331,2902.19936949886,"PASS"
"primary_drop_t3",1.00398197665511,0,1170.09371086881,3138.53477883555,"PASS"
