"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_1",1.00018515214727,17323.3459211065,48519.2020975615
"beta_tilde_2",1.00125335452473,2632.8541686566,12342.2362068483
"beta_tilde_3",1.00078797302469,5711.49311650658,10946.8406422397
"beta_tilde_4",1.00041337218194,21819.7593413714,26048.777116191
"beta_tilde_5",1.00026749684264,85994.9462574427,78235.8773470464
"beta_tilde_6",1.00100206230928,11022.4795556345,6842.34490476418
"beta_tilde_7",1.00032670294733,116932.711119447,82469.8402809016
"beta_tilde_8",1.00069560787805,12115.924209503,11145.532634732
"beta_tilde_9",1.00022671070913,116848.439173713,94720.0349340865
"beta_tilde_10",1.00063992858066,48680.2021779553,65897.2648248765
"beta_tilde_11",1.00016815461395,81027.6201465439,68495.2141269991
"beta_tilde_12",1.0004726132342,64846.6780544868,66404.9418931691
"beta_tilde_13",1.00019348193338,76551.8873357033,86963.3772423355
"beta_tilde_14",1.00103039021881,21814.390905454,12956.9836667302
"beta_tilde_15",1.00078545972993,22722.0196993017,20435.2371178084
"beta_tilde_16",1.00039264198835,24030.402334828,23371.5607402464
"beta_tilde_17",1.00084406619863,12784.7843823713,17779.9045907701
"beta_tilde_18",1.00080398937652,8440.38294281255,12711.0157374023
"beta_tilde_19",1.00053467901815,33190.5885123473,31167.7017025989
"beta_tilde_20",1.00069632037516,29282.0353902157,32393.210842407
"beta_tilde_21",1.00018251792802,14651.8192236595,23407.6143431951
"beta_tilde_22",1.00050919479319,56688.2346292197,40677.547914014
"beta_tilde_23",1.00032362078408,18991.1353268758,18120.6270432049
"beta_tilde_24",1.00021332985036,53500.1973768525,50423.3870325524
"beta_tilde_25",1.00052614568122,51364.7716151096,51995.4237599634
"beta_tilde_26",1.00020135611855,48973.714411567,54790.9361829109
"beta_tilde_27",1.0004435478307,18283.2229628221,55030.4352724643
"beta_tilde_28",1.00062178866455,24611.5703147416,28065.8404820427
"beta_tilde_29",1.00101222838116,17813.1555384887,35793.648578954
"beta_tilde_30",1.00063259039206,48237.4044239454,34000.2818235538
"beta_tilde_31",1.00025289882103,32911.2682157997,59726.2862781615
"beta_tilde_32",1.00010287075188,41000.565174193,49682.138591228
"beta_tilde_33",1.00026974958161,33967.7518682528,70856.3140739536
"beta_tilde_34",1.00022926383294,35032.4364117054,38429.3472321381
"beta_tilde_35",1.00074630888751,38050.7899329983,36765.4683877302
"beta_tilde_36",1.00026323006302,21930.5589946121,63928.6417036472
"beta_tilde_37",1.00025107298873,96871.898902568,68114.4970150921
"beta_tilde_38",1.00004169358156,81526.8009490566,86989.9268421914
"beta_tilde_39",1.0006565691269,18811.8522414988,19471.5553352798
"beta_tilde_40",1.00107437088988,15003.5020221229,5305.13396189329
"beta_tilde_41",1.00102320787841,9137.71198888669,4646.53578429218
"beta_tilde_42",1.00004394505235,110479.482835326,75539.3721072663
"beta_tilde_43",1.00003049127189,112707.144637944,83847.97883629
"beta_tilde_44",1.00016433418418,88052.367220908,69482.6237725612
"beta_tilde_45",1.00007434612263,25835.8816360774,84369.4890181444
"beta_tilde_46",1.00062702338,19707.3240995668,36314.7458729157
