"spec","total_lppd","n_test_patients","delta_vs_baseline"
"baseline_train",-150.060128861299,118,0
"primary",-139.188627588045,118,10.8715012732542
"sensitivity",-139.188627588045,118,10.8715012732542
"primary_drop_t1",-142.631566152399,118,7.42856270889996
"primary_drop_t2",-143.352073449481,118,6.70805541181809
"primary_drop_t3",-140.277216710298,118,9.78291215100123
