"cov_id","eta_sq","F_stat","p_val"
20,0.806367957331728,11.1051586465392,0.00317970966231038
15,0.736300620583908,7.44585871193472,0.0105664490661056
57,0.726731726969896,7.09175364717964,0.0121260032518115
9,0.683625704570802,5.76216811919679,0.0212953639238165
3,0.683218828129171,5.75134205183768,0.0214004170342485
21,0.661336475461811,5.20742213667585,0.0276221045391782
31,0.649315292959877,4.93750486728496,0.0315454652546728
16,0.6469924811696,4.88746893787226,0.0323472823733449
25,0.636845732814255,4.67640185165734,0.0360220745938002
34,0.609381106556489,4.16010672147798,0.0474572545287478
71,0.602752792583443,4.04619780885468,0.05056261065253
32,0.558631015072691,3.37514133918099,0.075004071726749
53,0.55484176487951,3.323712610367,0.0774280541415599
2,0.518250723725135,2.86871615172949,0.103713858288415
27,0.510222764259445,2.7779854569352,0.110209705879111
44,0.500882695506498,2.67609873669431,0.118112343730398
17,0.497448259224424,2.63958630253261,0.121113049487946
60,0.470961845932921,2.373927563005,0.146015944971492
6,0.464181228813327,2.31014043690088,0.152904755724303
67,0.462909833708879,2.29835938302132,0.154220241434153
19,0.445248861779824,2.14029357720451,0.173282225063019
26,0.423600542831167,1.9597545304747,0.198695320922132
33,0.418603216815006,1.91998868436262,0.204888307784888
39,0.406035685850846,1.82294087900993,0.221011887256704
41,0.394476835372669,1.73723862126376,0.236541041283872
30,0.393751156083557,1.73196715082595,0.237538486416248
52,0.393043866679694,1.7268413980412,0.238513220413097
4,0.39178961548447,1.71778110758632,0.240247968102358
63,0.3900449695909,1.70524033257248,0.24267423864003
49,0.384786655536045,1.66787303515039,0.250080413407535
7,0.380438628340442,1.63745361688769,0.256310672939984
51,0.360669654976195,1.50436429944112,0.285853286389357
28,0.356158405137417,1.47513884565942,0.292874535430125
1,0.349056777667929,1.42995278520052,0.30413785314136
40,0.347787085603676,1.42197771280699,0.306178703034325
13,0.344189762875255,1.39955022918125,0.312005458046299
5,0.338614037489065,1.36527053463518,0.321166722238933
36,0.331271541733898,1.32100072464022,0.333471238262161
35,0.312269271432162,1.21081990750438,0.36657283427075
54,0.293333489394537,1.10691907235739,0.401331450404825
38,0.285946578035871,1.06788117617054,0.41535902516211
45,0.280547923879077,1.03985772206616,0.425773413283026
37,0.276223310015014,1.0177109923071,0.43421345522267
68,0.276028767858186,1.01672094360831,0.434595150549277
62,0.273611675828593,1.00446429446014,0.439351945435701
48,0.267021307447847,0.971456369872937,0.452455959291165
47,0.261840155469587,0.945920344704959,0.462893778189011
24,0.258054291567085,0.927486701103341,0.470594901522494
18,0.241719203677615,0.850060487179026,0.504517494144495
61,0.185792959639009,0.608503571955145,0.628007773593454
43,0.182824254053774,0.596605254820522,0.634816646608484
70,0.176895136781314,0.573098745772858,0.648470958794931
64,0.170738758190079,0.549046949523185,0.662718726472825
55,0.165957931373117,0.530614102463968,0.67382538598207
46,0.164984181641675,0.526885608677581,0.676091557493745
12,0.164685446821036,0.525743493695212,0.676787042873298
8,0.16224087534042,0.51642807760157,0.682482466316676
23,0.154575083123874,0.487565735803904,0.700383802745751
69,0.148357969226098,0.464539368624265,0.714934926994705
58,0.136352845681269,0.421014052631492,0.743057900792243
29,0.131409730343186,0.403442175008804,0.754625399341667
50,0.120595639731795,0.365688853896562,0.779848379489682
59,0.0955014340058018,0.281559861183651,0.837399390814909
66,0.0768237584795417,0.22191142571871,0.878546650308489
56,0.0739873655237802,0.213063660312092,0.884606625547764
65,0.0687948342974886,0.19700587820684,0.895541596342438
14,0.0650101875137063,0.185414319729918,0.903369816833684
22,0.0622837496934048,0.177121809639225,0.90892821615971
11,0.054453035130354,0.153570471987039,0.924472092130533
42,0.0505743707622282,0.142049028956116,0.931913560276052
10,0.0436228917718971,0.121633726268551,0.944758569192032
