"spec","total_lppd","n_test_patients","delta_vs_baseline"
"baseline_train",-145.078820198703,118,0
"primary",-138.397884648263,118,6.68093555044004
"sensitivity",-132.075977896245,118,13.0028423024575
"primary_drop_t1",-143.232851664345,118,1.84596853435772
"primary_drop_t2",-138.28198026496,118,6.79683993374266
"primary_drop_t3",-143.722892143845,118,1.3559280548576
