"variable","rhat","ess_bulk","ess_tail"
"pi_0",1.00001557051743,199691.109901957,200302.895014044
"pi_0.5",1.00029024308994,12221.0798223809,16324.4633644286
"pi_1.1",1.00566302631809,589.514105109919,2200.63203210858
"pi_2.1",1.00155366451968,1430.5407061456,4394.99224687194
"pi_3.1",1.00063068343624,6071.77950516663,7787.77802486816
"pi_3.2",1.00081466579614,4123.39056049904,6120.50501805299
"pi_4.1",1.00295242725643,1786.92965167619,5029.06498901656
"pi_5.1",1.00191891213482,1548.42915256488,2579.6896497305
"pi_6.1",1.00055123574005,12162.4303236734,36930.9601187267
"pi_7.1",1.00001333303082,20389.2639570452,39444.2529098189
"pi_7.2",1.00001426683563,23323.7342073737,21062.3104142363
"pi_7.3",1.00001258553564,51524.1443576062,60033.1980513178
"pi_8.1",1.00444527976081,1302.56607585142,2686.91438387126
"pi_8.2",1.00000201760351,200070.19853741,200479.909349267
"pi_8.3",1.00215904730458,3658.47035459699,5970.88630469511
"pi_9.1",1.00003378417634,30670.7944923455,47047.4845547831
"pi_9.2",1.00055439390696,7285.78898644093,39677.4915722696
"pi_10.1",1.00463771311144,2103.34597233214,3893.66636336735
"pi_11.1",1.00344055512885,1709.36744330661,3221.11658766343
"pi_12.1",1.00009397698202,12656.2973744367,44429.7787531791
"pi_12.2",1.00005847853092,59059.4354607515,69155.0606799297
"pi_12.3",1.00046261692671,7434.78173738971,18610.5470534088
"pi_13.1",1.00081565830813,4324.50446955008,7549.68004870858
"pi_14.1",1.00096834226249,7268.05183929107,10117.6310271211
"pi_15.1",1.0027977851345,1517.26227809119,3458.00288053408
"pi_16.1",1.00003144564235,151840.174353717,135108.069070124
"pi_17.1",1.00129504010651,4676.21819438459,9819.60498567548
"pi_18.1",1.00087439433318,7895.89475311075,36262.3314456097
"pi_18.2",1.00013231039878,20897.8774583023,38076.2858448411
"pi_19.1",1.00010011000088,13270.3038535529,39312.0269215733
"pi_19.2",1.00010632089894,29795.8434509509,48227.7847250748
"pi_20.1",1.00318910780676,1152.61669363835,2830.43513597034
"pi_21.1",1.00037290410376,10355.9766252225,23205.444660691
"pi_21.2",1.00019848748684,8261.79275045628,23054.3894142666
"pi_21.3",1.00128880134645,5976.55525426637,28337.6853305539
"pi_22.1",1.0142479315317,544.557105804909,590.817162003062
"pi_23.1",1.00126551283,1558.19090399826,7648.44753844087
"pi_24.1",1.01616268290146,508.125543134655,1213.04140546868
"pi_25.1",1.00009894271016,21946.1325309543,20861.7521428946
"pi_26.1",1.00159789930897,2404.75048955716,9317.38732928711
"pi_27.1",1.00115080089712,7986.81637775541,21371.8651915209
"pi_28.1",1.00065174875227,4558.51827849557,11574.1777928963
"pi_29.1",1.00009144740034,27293.8113404271,29955.7496951445
"pi_30.1",1.00047262468306,12519.3975954576,36336.5976626398
"pi_31.1",1.00109151129184,2523.46242051433,8107.39888901588
"pi_32.1",1.00015778811186,28453.929102776,28779.6251104388
"pi_33.1",1.00020178835958,22421.07957571,23665.8880587711
"pi_34.1",1.00295513951533,2194.96594967574,7730.36846202921
"pi_35.1",1.0015599785408,2741.95677445785,10215.9499869986
"pi_36.1",1.00027487568332,3290.08366482956,6300.12798586816
"pi_37.1",1.00167077292615,2240.57568952839,4991.38274124369
"pi_38.1",1.00006032845733,73956.9267657585,77702.9933303734
"pi_38.2",1.00007625234616,27102.8230460049,44024.4216377406
"pi_38.3",0.999999910695908,94166.4686326896,96466.6157131255
"pi_39.1",1.00087645534545,1900.78260137568,3968.93828129411
"pi_40.1",1.00028169942793,20688.0646679831,35484.2386290518
"pi_41.1",1.00012277434428,13977.7660618286,40038.5146219086
"pi_42.1",1.00011142310721,26362.4284982664,26062.5286187914
"pi_43.1",1.0004970453821,5352.43930914421,11811.9248905078
"pi_43.2",1.00067541085804,4742.77572129723,13196.8740045549
"pi_44.1",1.00035246651505,13281.231364456,18234.0601933409
"pi_45.1",1.00014008613586,53115.5669787089,58430.1607926779
"pi_45.2",1.00010360811451,27650.205503488,40190.1050192437
"pi_46.1",1.00070982930787,2714.69001552447,7741.03879128061
"pi_47.1",1.00018504576564,27403.5771586789,46090.5039328859
"pi_48.1",1.00049212443104,10109.6620730761,12011.9871066777
"pi_49.1",1.00031425415139,10439.3451496841,11149.1411279545
"pi_50.1",1.00178393206749,3568.7055142804,7385.5916368247
