"variable","rhat","ess_bulk","ess_tail"
"pi_0",0.99999613072554,200782.202795353,198873.310610429
"pi_0.5",1.00013878210509,12000.4112940156,16160.8161758471
"pi_1.1",1.01513203437476,478.959278803119,1706.35230860365
"pi_2.1",1.0030499212752,1350.18361492094,3893.27382758885
"pi_3.1",1.00097752578012,6115.24064957327,8161.83824331532
"pi_3.2",1.00144878039249,4239.76005790368,5251.2985787768
"pi_4.1",1.00078575801507,2148.3614351568,6415.67192893984
"pi_5.1",1.00102710430814,1441.30670995036,3010.82754058669
"pi_6.1",1.0000730143801,11669.2244403262,34186.2187332214
"pi_7.1",1.00022893067429,19205.3354849017,38766.8135787188
"pi_7.2",1.00035600004191,20500.406337617,17014.5746595411
"pi_7.3",1.00003749313631,52628.2958856774,61955.5139699067
"pi_8.1",1.00150321034066,2481.64235227832,4654.77623267936
"pi_8.2",1.00076501617939,4590.49768512858,6009.59083621449
"pi_8.3",1.00169164362131,3624.98517397648,6757.64289970106
"pi_9.1",1.00002293538896,31479.8344982703,48501.2056755998
"pi_9.2",1.0004002069493,8203.93499750785,32432.5669399944
"pi_10.1",1.00000070197599,199022.908906855,199176.057983071
"pi_11.1",1.00377986051537,1463.06206495871,3682.63543886748
"pi_12.1",1.00067264554853,11459.4722041119,38681.0282631642
"pi_12.2",1.00011141942049,59732.3192483464,67494.3079429326
"pi_12.3",1.00041964377322,7253.46136121334,18550.1786877135
"pi_13.1",1.00010244002113,4719.1552312881,7272.86224904716
"pi_14.1",1.00036945375851,7220.18047172455,10364.3309698934
"pi_15.1",1.00113271870031,1512.92701372175,3644.81709801216
"pi_16.1",1.00007389844979,170479.233428469,140362.840439714
"pi_17.1",1.00092390167329,5009.06808969277,9458.59303127471
"pi_18.1",1.00120196020714,7046.81501455087,33794.8255752765
"pi_18.2",1.00034619380027,22446.8894915216,42462.6817939084
"pi_19.1",1.00026263714626,13233.734438433,38741.270556505
"pi_19.2",1.00014009333992,27776.8786763709,44281.2406933649
"pi_20.1",1.00188887139172,1126.914099367,2745.68630660994
"pi_21.1",1.00059375144274,10347.3113399699,22193.8115482027
"pi_21.2",1.00045506977891,7778.96924656207,23213.4292259364
"pi_21.3",1.00046647203907,5596.96054006696,26686.0899260622
"pi_22.1",1.00526917412338,603.78605136005,439.819514517066
"pi_23.1",1.00031973514465,2217.79915695115,7021.70888017033
"pi_24.1",1.00649954896873,558.924317473794,896.619279768577
"pi_25.1",1.00031301054464,21447.4616816625,21197.129305529
"pi_26.1",1.00140954017308,2543.40963077182,9274.7830017862
"pi_27.1",1.00065855018238,7309.22482213572,20732.5426271687
"pi_28.1",1.00063472535749,4958.71718611344,10923.8811531429
"pi_29.1",1.00017298773435,23196.620483814,30041.0337099808
"pi_30.1",1.0003894569485,13020.0361111862,37472.290698672
"pi_31.1",1.00039440094692,2572.03392901182,8540.68808097992
"pi_32.1",1.00006603816432,25988.0560577504,26777.7323685235
"pi_33.1",1.00032655857113,23059.058399226,23708.7026912905
"pi_34.1",1.0009032821467,2512.59864364614,8508.54378880691
"pi_35.1",1.00087446271254,2759.11325329885,8943.2239299108
"pi_36.1",1.00197431444689,3501.07372280245,6093.58751794676
"pi_37.1",1.0024010489451,2448.29164280573,5177.3995183963
"pi_38.1",1.00002475232212,78092.0936148385,79158.5959013367
"pi_38.2",1.00012151918459,26023.4925596899,42820.9604500895
"pi_38.3",1.00002774501235,92374.5822552483,94895.764168934
"pi_39.1",1.00633946366587,1429.3034059538,4069.4383471782
"pi_40.1",1.00011227968568,26652.9710685694,42271.8661767347
"pi_41.1",1.00005099773675,11875.9739987476,43987.5689684146
"pi_42.1",1.00022766720428,29274.9033980958,29991.4489209358
"pi_43.1",1.00042450692836,4946.75217291942,11493.3668482989
"pi_43.2",1.00138117352253,5716.06618888169,11486.3456154166
"pi_44.1",1.00041867592571,11866.3349011642,15522.5301930125
"pi_45.1",1.00005848964233,56799.2505357216,62627.6331930626
"pi_45.2",1.00014993518624,28131.7473565927,42740.7536570605
"pi_46.1",1.0007699126087,3322.51832685512,9206.25212513467
"pi_47.1",1.00015152157419,27263.5435807311,45906.3965733005
"pi_48.1",1.00050752812568,9720.25862575772,11419.202820847
"pi_49.1",1.00020628250633,10361.0285318201,11226.6966516981
"pi_50.1",1.00120483565705,3357.439397733,7892.18388728267
