"variable","rhat","ess_bulk","ess_tail"
"pi_0",1.00000253017521,198612.246372975,198436.462417322
"pi_0.5",1.00029804497983,11268.2018061193,15756.8505259711
"pi_1.1",1.00859297006234,570.024760279991,2338.77152038661
"pi_2.1",1.00559825336338,1340.56724801623,3760.32319395548
"pi_3.1",1.00052786742198,5433.44322084507,7403.34119642883
"pi_3.2",1.00083950260869,4498.04415128046,6221.18144282003
"pi_4.1",1.00275736235899,1855.88520367036,5528.64823515953
"pi_5.1",1.00186687086611,1100.66098612325,2101.87325178716
"pi_6.1",1.00010535324687,9670.75615101771,39122.4841506024
"pi_7.1",1.00018962615188,18627.135814091,41717.7468629406
"pi_7.2",1.00014741942875,31347.5350184774,24850.7424798156
"pi_7.3",1.00005137433417,55443.376569199,60923.8241897909
"pi_8.1",1.00096620437194,3511.02330613768,5901.52666071561
"pi_8.2",1.00087562551143,4687.73930191247,5694.04668933991
"pi_8.3",1.00084736477967,4324.44189238156,7210.90883378347
"pi_9.1",1.00009928258709,31527.7490948044,49215.7054428606
"pi_9.2",1.00034863024161,7717.82084288882,34424.9383357917
"pi_10.1",1.00001126339953,200524.733550913,198423.158235813
"pi_11.1",1.00212220489884,1952.45948845196,4481.50663493326
"pi_12.1",1.00029302334452,13346.5298298711,39921.5429481482
"pi_12.2",1.0000241012334,56628.9191067061,65505.3057232829
"pi_12.3",1.00077381898308,7289.51209779046,17438.1769617104
"pi_13.1",1.00075278040732,4736.06275800881,5678.95449376756
"pi_14.1",1.00087659012062,8081.00729486477,11254.1965835458
"pi_15.1",1.00315773576709,1147.28406992498,3613.72029629598
"pi_16.1",1.00003296831951,181927.421056513,173856.387156121
"pi_17.1",1.00037379394575,5236.61294245323,10605.8318061687
"pi_18.1",1.00028984032955,7579.89694070219,37808.3600001556
"pi_18.2",1.00034352146844,17197.6709113864,36293.2108974766
"pi_19.1",1.00038687708696,12191.7231685076,38233.9971610791
"pi_19.2",1.00011581671822,28710.3993738965,43987.2247984943
"pi_20.1",1.00280562562967,1056.7469101726,3140.21808803227
"pi_21.1",1.00062242672614,10273.4986537283,22519.7102770154
"pi_21.2",1.00067207001893,7825.09614020458,23421.6458872
"pi_21.3",1.00023126294042,5533.54343518369,25797.0160982664
"pi_22.1",1.00259289958196,576.905265660694,705.557704154345
"pi_23.1",1.00289467835559,2137.16185156468,7307.90701561035
"pi_24.1",1.00398936016855,583.132590775971,1076.66611546148
"pi_25.1",1.00006473034232,22245.1559604416,22754.5614828352
"pi_26.1",1.00081210920983,2535.11690812024,9151.80872310467
"pi_27.1",1.00028914452755,8340.17892316347,22245.6422172887
"pi_28.1",1.00157116771845,3963.86738081552,10889.3460731651
"pi_29.1",1.00024053363519,21876.1029842828,28150.6049797933
"pi_30.1",1.00046244462275,9183.98389739666,41308.4241995513
"pi_31.1",1.00227894033137,2255.79430034712,7722.97046249014
"pi_32.1",1.00035848223775,23538.2670489622,23912.0878865192
"pi_33.1",1.00007459450488,23970.1930297942,24304.7375240665
"pi_34.1",1.00346516045076,1568.73406720315,7253.69747687583
"pi_35.1",1.0016908552614,2836.42466351302,10379.2181550845
"pi_36.1",1.00315680553911,1981.38090828105,5266.96491502186
"pi_37.1",1.00069026341809,2749.57315441584,5234.35863193968
"pi_38.1",1.00004143000858,72629.9636506914,78790.6923491071
"pi_38.2",1.0001268201071,24363.36465385,40684.1836671073
"pi_38.3",1.00003564645458,89090.26755976,87791.206279846
"pi_39.1",1.0019340417047,1618.69710146137,4137.71054339216
"pi_40.1",1.00004562618746,24852.6847456957,44996.8223962347
"pi_41.1",1.00029665842865,11646.6469392336,44351.7012235471
"pi_42.1",1.00005663713161,23531.5832521382,24209.8365599601
"pi_43.1",1.00026731984564,5477.96879530832,11736.7784864996
"pi_43.2",1.00030594727349,5766.0499438462,11689.0149198219
"pi_44.1",1.00026867337938,11082.3711534917,14242.4370737632
"pi_45.1",1.00001093937691,56056.3189109578,61857.771337288
"pi_45.2",1.0000230469491,31632.725603158,44734.7165069737
"pi_46.1",1.00157860515061,2958.90219846293,8314.76098585007
"pi_47.1",1.00020895016085,29329.0846330075,45537.9110911128
"pi_48.1",1.00020052469642,11487.2138294374,12786.2741831105
"pi_49.1",1.00065079789711,12343.8419698968,13221.2408218214
"pi_50.1",1.00080977969686,3820.78858714965,8040.06276253244
