"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.00006585473262,72036.4143637251,122546.164780541
"beta_tilde_0.5",1.00011453418523,34543.180424835,64625.2703214517
"beta_tilde_1.1",1.0026144123554,11185.352583848,3865.22300829894
"beta_tilde_2.1",1.00143632843981,3204.41328652196,8616.80669382567
"beta_tilde_3.1",1.00045263602115,77411.4871102718,85116.7264293945
"beta_tilde_3.2",1.0005177332208,38474.0120682223,70443.7336067412
"beta_tilde_4.1",1.00077408434797,3826.93135712414,12160.6233432801
"beta_tilde_5.1",1.00153809399487,23002.0651521948,23456.8405907501
"beta_tilde_6.1",1.00029806484259,136801.354045472,72250.0495739842
"beta_tilde_7.1",1.00001657340405,187104.710168582,128971.966601786
"beta_tilde_7.2",1.00027420038101,37585.1377414489,15085.4472754842
"beta_tilde_7.3",1.00000416478628,198740.836516811,184580.775223252
"beta_tilde_8.1",1.00068169803679,13055.824112169,32655.9293491102
"beta_tilde_8.2",1.00021941455703,44129.115711936,75313.340973981
"beta_tilde_8.3",1.00021438805838,13386.8518168567,48494.6511152338
"beta_tilde_9.1",1.0000218594941,180915.311645098,161527.87938356
"beta_tilde_9.2",1.00024718745658,58415.0012729113,72693.0476238847
"beta_tilde_10.1",1.00026055523569,27968.7091360241,94623.5487961715
"beta_tilde_11.1",1.00123794778104,4923.33662784824,4473.88786323277
"beta_tilde_12.1",1.00011783458156,91112.1050318415,81729.719502257
"beta_tilde_12.2",1.0000131149201,198618.504928499,187389.794493506
"beta_tilde_12.3",1.00036179060195,69288.1573641041,15088.2264856912
"beta_tilde_13.1",1.0004100845214,124047.509828732,66762.4152620046
"beta_tilde_14.1",1.00016500782339,21321.8907975612,17761.5713979491
"beta_tilde_15.1",1.00058003628057,13829.2714116442,7778.21131392511
"beta_tilde_16.1",1.00001047830465,137312.760320575,139051.643602248
"beta_tilde_17.1",1.00018513172507,25597.5179550239,65543.6290059572
"beta_tilde_18.1",1.00035464725119,19401.6719933942,48892.6493779631
"beta_tilde_18.2",1.00008522774729,115389.594547574,135083.590558043
"beta_tilde_19.1",1.00016771462987,51984.0639158768,113517.685607168
"beta_tilde_19.2",0.999993334681064,169672.566015363,157545.601169355
"beta_tilde_20.1",1.00236996003827,3312.81477051464,6913.91349298233
"beta_tilde_21.1",1.00006556741463,80164.4512798903,103506.209410828
"beta_tilde_21.2",1.00012479131576,63963.7592475289,81530.8409009785
"beta_tilde_21.3",1.00008571478863,37944.9958624815,41406.2766218482
"beta_tilde_22.1",1.00272622712919,1667.74290830015,835.661808568323
"beta_tilde_23.1",1.00031246959446,35358.4990970396,19123.2050843495
"beta_tilde_24.1",1.00329632649622,1305.03999282722,733.504044754102
"beta_tilde_25.1",1.00003233627894,190131.796171842,149875.845487061
"beta_tilde_26.1",1.00109163927503,77777.7445536077,21430.1556493959
"beta_tilde_27.1",1.00031673510555,102616.500922464,85979.3023845271
"beta_tilde_28.1",1.00008667683083,89484.9539448554,47893.6254994157
"beta_tilde_29.1",1.00006922259917,193907.307978863,152210.574178579
"beta_tilde_30.1",1.00010299735202,147275.197185719,70119.1342601758
"beta_tilde_31.1",1.0004722809492,43062.0263665333,19943.6559160673
"beta_tilde_32.1",1.00007122548496,195279.828934051,156112.522964917
"beta_tilde_33.1",1.00002627021582,197184.881642519,160602.842995125
"beta_tilde_34.1",1.00126979300124,35074.0213851405,13129.356447379
"beta_tilde_35.1",1.00070796857529,8720.53646977579,17482.9875141027
"beta_tilde_36.1",1.00129167481697,3181.72208037055,8521.3909777085
"beta_tilde_37.1",1.00042898902223,8831.23290711793,6004.16554416183
"beta_tilde_38.1",1.00000650190229,197300.531767828,184108.624324694
"beta_tilde_38.2",1.0000539250476,183651.522268155,153555.043857538
"beta_tilde_38.3",1.00002349705588,197752.229596175,193224.627299233
"beta_tilde_39.1",1.00111619920976,13135.1801530254,19257.6680667413
"beta_tilde_40.1",1.00003453237464,187148.83269841,160733.653968916
"beta_tilde_41.1",1.0000872771177,136560.372172821,73371.1686404976
"beta_tilde_42.1",1.00002868041382,183354.208940103,159003.220314877
"beta_tilde_43.1",1.00073483920503,80280.1413852424,61936.3301683254
"beta_tilde_43.2",1.00013200611222,73440.9494014338,65812.5616249713
"beta_tilde_44.1",1.00016809592476,118452.973293415,115043.191023859
"beta_tilde_45.1",1.00003460264067,197876.128374826,179940.825592879
"beta_tilde_45.2",1.0000246250436,194253.131859953,161994.591239354
"beta_tilde_46.1",1.00048136257388,42581.4396009754,30605.7241874736
"beta_tilde_47.1",1.00001750621037,168651.233031942,162557.150846154
"beta_tilde_48.1",1.00027630158266,188370.162637953,138433.824600713
"beta_tilde_49.1",1.00024410255067,169995.139896053,122111.884229118
"beta_tilde_50.1",1.00026358313294,20328.2933288706,34021.869302022
