"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.0000944485591,66816.4814441768,129396.176988427
"beta_tilde_0.5",1.0000950217651,40977.7574085649,74572.0680421619
"beta_tilde_1.1",1.00230189800887,10705.8988504723,3629.07666616032
"beta_tilde_2.1",1.00107241095379,2784.09603933426,8339.24411104256
"beta_tilde_3.1",1.00016490271691,54341.062016086,82948.5480925247
"beta_tilde_3.2",1.00049128682269,30742.8274675181,63124.05379842
"beta_tilde_4.1",1.00087083306866,4139.32652710573,20064.3362638467
"beta_tilde_5.1",1.00027904148788,21177.8134195114,23324.5027351957
"beta_tilde_6.1",1.00030110305421,172827.243617019,98202.9922016443
"beta_tilde_7.1",1.00003349841384,173945.393801297,142314.61790114
"beta_tilde_7.2",1.0000756657282,47482.4659836697,21818.1269981326
"beta_tilde_7.3",1.0000199827291,194793.136553517,182333.413753589
"beta_tilde_8.1",1.00099226485101,9076.29555193542,21519.4565158555
"beta_tilde_8.2",1.00014412183428,57823.9763684572,140574.898872875
"beta_tilde_8.3",1.00199983538869,3349.32808434484,19455.7884137144
"beta_tilde_9.1",1.00012708531916,175858.365425144,162742.969557775
"beta_tilde_9.2",1.00037028191506,40684.1638627329,48283.8000516134
"beta_tilde_10.1",1.00181051149793,31324.1157065912,26661.8892119443
"beta_tilde_11.1",1.00043168052959,9111.80589570044,6474.74587226627
"beta_tilde_12.1",1.00003960555967,109380.082005588,99027.2474942686
"beta_tilde_12.2",1.00000282394696,197028.707107463,187624.322014663
"beta_tilde_12.3",1.00069373567893,74678.9661930223,16327.7907932772
"beta_tilde_13.1",1.00047313675072,95626.1581348495,57435.6590391401
"beta_tilde_14.1",1.00008703987536,24126.520435141,11168.2216118391
"beta_tilde_15.1",1.00033812754459,16128.3090027123,14204.9378519319
"beta_tilde_16.1",1.00002573884851,135548.418465881,123049.930244661
"beta_tilde_17.1",1.00017630497197,19371.665534661,53927.3850357214
"beta_tilde_18.1",1.00017768193341,33103.289314408,81499.2883352822
"beta_tilde_18.2",1.00006553216824,118346.52167345,150825.203857703
"beta_tilde_19.1",1.00008067059348,63758.0272708361,112981.042515521
"beta_tilde_19.2",0.999996256799218,170481.507978914,161990.190967608
"beta_tilde_20.1",1.00206525090793,2707.81853699575,6316.60955597916
"beta_tilde_21.1",1.00009048765119,53009.4078168882,87576.3492828384
"beta_tilde_21.2",1.0000590555193,47276.6784463501,79838.3064227084
"beta_tilde_21.3",1.00014719725837,32131.6847327849,44603.8290289542
"beta_tilde_22.1",1.00267516743734,3194.35955732322,1657.25330451558
"beta_tilde_23.1",1.00059175585194,33806.0883607826,12809.8574315376
"beta_tilde_24.1",1.00305807905412,2569.70115735271,1072.86716517104
"beta_tilde_25.1",1.00005857910597,186488.710908807,153417.834683046
"beta_tilde_26.1",1.00094801428331,74889.9097521454,18886.4986200266
"beta_tilde_27.1",1.00010241038991,95946.8135956879,76415.9603506453
"beta_tilde_28.1",1.00048156689945,100660.30514898,53323.1275455636
"beta_tilde_29.1",1.00001705921219,190891.81661577,162021.026407221
"beta_tilde_30.1",1.00020607557582,150229.456123059,67558.6116258846
"beta_tilde_31.1",1.00030572446548,48473.4095800187,23120.4442765412
"beta_tilde_32.1",1.00005949386147,193439.047100843,164165.886331947
"beta_tilde_33.1",1.00009462440126,189053.453649021,157932.925971569
"beta_tilde_34.1",1.00078681632602,48547.7254342687,20198.9019251067
"beta_tilde_35.1",1.00164703000261,8352.24114056353,15025.8760907824
"beta_tilde_36.1",1.00036357584087,5781.57111543375,11408.7754591516
"beta_tilde_37.1",1.00033979811122,7648.86260019606,6104.64051504822
"beta_tilde_38.1",1.00002865153523,198357.122889845,187000.248864613
"beta_tilde_38.2",1.0001157615318,188611.767810717,155458.048455528
"beta_tilde_38.3",1.00003088881105,200497.983691749,194144.50123472
"beta_tilde_39.1",1.00064517908453,13533.683853556,24082.2560670294
"beta_tilde_40.1",1.00008152378978,182086.009693196,145701.289237116
"beta_tilde_41.1",1.00001898517048,172185.165755308,110683.82039173
"beta_tilde_42.1",1.0000434812996,188510.589426894,156559.265312172
"beta_tilde_43.1",1.00075857005533,74128.1147438987,68359.9087393725
"beta_tilde_43.2",1.00009827067635,95041.4742546844,63137.5351399752
"beta_tilde_44.1",1.00002648675422,117924.64109843,113429.627131879
"beta_tilde_45.1",1.00001106697203,196891.916737755,179316.819393738
"beta_tilde_45.2",1.00004668741775,198671.593940743,190555.791656909
"beta_tilde_46.1",1.00039804767714,36772.5554599567,28810.2341361175
"beta_tilde_47.1",1.0000322341918,171559.564430031,158263.929936308
"beta_tilde_48.1",1.00007365010998,182519.751440591,141854.400232881
"beta_tilde_49.1",1.00009162153082,169382.542543724,107470.052351974
"beta_tilde_50.1",1.00013015926628,28104.4086801505,46149.0454998563
