"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.00000984636321,77358.2328725335,135943.710639408
"beta_tilde_0.5",1.00007088388056,38218.3545207346,66477.8999973925
"beta_tilde_1.1",1.00217986790774,11057.0199651025,3419.78473150707
"beta_tilde_2.1",1.00108200748188,3117.33004984912,12106.1245650909
"beta_tilde_3.1",1.00017522959797,64038.1321060373,78136.4357729098
"beta_tilde_3.2",1.00027916887102,36083.7980594078,71260.2748427867
"beta_tilde_4.1",1.00145408231258,4413.34218192435,16230.1193839606
"beta_tilde_5.1",1.00170933323945,26430.3954389276,25773.2859309423
"beta_tilde_6.1",1.00046582539035,162951.726593338,99140.7500723113
"beta_tilde_7.1",1.00000423941571,169872.244249475,142572.526824697
"beta_tilde_7.2",1.0000574425155,45182.0266201122,21796.3160820272
"beta_tilde_7.3",1.00001789416116,198387.803153634,181442.73457957
"beta_tilde_8.1",1.00063029134592,17799.6536496373,29707.3651605393
"beta_tilde_8.2",1.00003299446762,65116.7010573827,146750.414475518
"beta_tilde_8.3",1.00065331862873,6149.27251053857,35996.5580411617
"beta_tilde_9.1",1.00013122677407,185486.3018021,164438.547406409
"beta_tilde_9.2",1.00004542230948,40925.8883912371,53188.0940069138
"beta_tilde_10.1",1.000821455967,30120.2666726992,27401.9704621494
"beta_tilde_11.1",1.00039509112578,8645.7097319085,4979.43904880656
"beta_tilde_12.1",1.0000541908792,103726.044945628,93955.3239602499
"beta_tilde_12.2",1.000017292957,198250.297778643,188756.476039809
"beta_tilde_12.3",1.00052753836796,76063.589456066,15638.0697445017
"beta_tilde_13.1",1.00028884768087,106925.44773283,54514.9432235449
"beta_tilde_14.1",1.00011083254988,21803.4358746092,11373.204241658
"beta_tilde_15.1",1.00053446172159,17656.6179538045,15440.0568114079
"beta_tilde_16.1",1.00002003855176,146268.083007105,159034.727965582
"beta_tilde_17.1",1.00009592210292,26179.7514026935,55647.2290679448
"beta_tilde_18.1",1.00022043600156,29638.918273674,66575.6655452628
"beta_tilde_18.2",1.00002270967002,122788.877142909,136076.14157398
"beta_tilde_19.1",1.00006100768772,68100.6238435659,118049.143977211
"beta_tilde_19.2",0.999993789352343,161558.343086874,156495.409226119
"beta_tilde_20.1",1.00171270533223,3202.03133740164,8387.79466780069
"beta_tilde_21.1",1.00016573050023,65878.506707287,101727.366596797
"beta_tilde_21.2",1.00011267587315,57684.5841512633,83724.5406304085
"beta_tilde_21.3",1.00013840020069,40194.5841437133,46731.6361738182
"beta_tilde_22.1",1.00188954401628,2876.00796337481,2273.79065328532
"beta_tilde_23.1",1.00040676149565,35116.2371150679,13490.3406077547
"beta_tilde_24.1",1.00199890498042,2317.24209826355,1005.82129287632
"beta_tilde_25.1",1.00013713363415,191923.69981441,150566.169758003
"beta_tilde_26.1",1.00040974423103,70930.0520261402,17527.9917970216
"beta_tilde_27.1",1.00037820444864,99566.4006276137,71338.8843225026
"beta_tilde_28.1",1.00024778284967,97222.0369947781,46752.5858640268
"beta_tilde_29.1",1.00006276561405,197119.136283692,171651.203488301
"beta_tilde_30.1",1.00030295218905,146874.736538543,68906.9257990482
"beta_tilde_31.1",1.00025830911452,56416.9636531968,22940.6229083015
"beta_tilde_32.1",1.00006066425728,198077.868617088,158269.127380603
"beta_tilde_33.1",1.00005685184959,195319.797546185,161797.599217058
"beta_tilde_34.1",1.00191611706293,47453.7893195527,19317.9958651427
"beta_tilde_35.1",1.00062058637071,9126.38619033426,16651.7398870736
"beta_tilde_36.1",1.00068329883959,9996.10644158924,27176.011920169
"beta_tilde_37.1",1.0006439705132,9622.96893448037,7345.93776724837
"beta_tilde_38.1",1.00000750629689,200792.777176372,189815.229325398
"beta_tilde_38.2",1.00000534258923,184356.573987838,149767.720298485
"beta_tilde_38.3",1.00000609458192,198691.924782216,191178.639183545
"beta_tilde_39.1",1.00070452233657,15178.6026053704,28682.365105737
"beta_tilde_40.1",1.00023966136605,177370.474654486,153933.662150105
"beta_tilde_41.1",1.00015405182268,168992.235656363,99598.9722648715
"beta_tilde_42.1",1.00001535421061,186365.95536502,153047.828045338
"beta_tilde_43.1",1.00030078900043,68270.9531686735,68491.5147134901
"beta_tilde_43.2",1.00005483642471,98725.2260419868,68551.5402379798
"beta_tilde_44.1",1.00005499657009,125698.206817724,124030.212465993
"beta_tilde_45.1",1.00001821414356,199784.012326232,187335.581338149
"beta_tilde_45.2",1.00001141927501,197407.75118114,183314.003306994
"beta_tilde_46.1",1.00009608037374,39782.7102251925,27807.4600514068
"beta_tilde_47.1",1.00002344489651,176251.625871386,160320.279775697
"beta_tilde_48.1",1.0001643926438,188390.820821409,149458.52198266
"beta_tilde_49.1",1.00007559335429,155809.982893848,112154.11215331
"beta_tilde_50.1",1.00040881996615,23726.2059897576,34819.5093523314
