"variable","rhat","ess_bulk","ess_tail"
"pi_0",0.999998142730212,199847.219721705,199430.321161566
"pi_0.5",1.00012626374612,12001.7167291756,16434.8524864602
"pi_1.1",1.00317790363041,651.978868172897,2571.2632876932
"pi_2.1",1.00150381790709,1594.34022630205,4523.46927006137
"pi_3.1",1.00016755204886,6198.78806343302,8496.33444123784
"pi_3.2",1.00080397943065,4039.93828468196,5327.58035358543
"pi_4.1",1.00089476883493,2346.65296537209,6334.77766727159
"pi_5.1",1.00507270705757,1337.11060123894,2120.70122933019
"pi_6.1",1.00030158533887,12991.2519319912,37658.4608482062
"pi_7.1",1.00021537582363,19818.3192954391,36121.6448761311
"pi_7.2",1.00006355310056,18471.117950041,16378.804123647
"pi_7.3",1.0000554022772,56521.7914460833,66588.4054504281
"pi_8.1",1.00220979234237,1941.25051675491,3836.97382177525
"pi_8.2",0.999998168285621,198113.72772396,198768.647443772
"pi_8.3",1.0007825330941,2752.86074719066,5801.01921818689
"pi_9.1",1.00010134824079,29541.193216386,43234.1747688768
"pi_9.2",1.00043558977421,5950.33888314796,37670.8796551542
"pi_10.1",1.00141349855283,2274.01341762795,4156.65830569286
"pi_11.1",1.00094772412266,2556.72290027131,4429.84579965446
"pi_12.1",1.00019999193459,10165.4529827907,38811.6213650461
"pi_12.2",1.00006105943202,56342.0324558693,62759.7024340075
"pi_12.3",1.00045728476922,7493.31530188963,17473.7978129683
"pi_13.1",1.0001087221352,4028.54456423596,6533.85720812998
"pi_14.1",1.00030958116184,5896.06284526518,7582.3350524671
"pi_15.1",1.00137756698816,1648.10195068976,4097.55868816128
"pi_16.1",0.999989988372825,192186.105058261,191681.788264489
"pi_17.1",1.00080096041915,4719.25004027337,9577.60214514899
"pi_18.1",1.0004474932384,8812.99983491064,38246.9544619622
"pi_18.2",1.0000665113788,18346.5115745866,37917.2534457197
"pi_19.1",1.0001271929597,12942.605916124,37376.5995804175
"pi_19.2",1.00004620533822,26389.9773251667,45311.5343924584
"pi_20.1",1.00267439605794,1239.2841066771,2424.4143022374
"pi_21.1",1.0004837569648,9443.10113212048,22232.1950416263
"pi_21.2",1.00017967017691,8858.38861288013,24265.9792338695
"pi_21.3",1.00045715679351,6121.68952668392,24363.4239796403
"pi_22.1",1.00256678207142,872.951259136261,1031.00316950441
"pi_23.1",1.00063785991446,1960.81772015887,8264.88476377424
"pi_24.1",1.00415261576786,655.109075712241,1591.84793047077
"pi_25.1",1.00013869369383,23520.91962695,24675.7803436187
"pi_26.1",1.00101753606239,2272.90012916042,9529.52265147391
"pi_27.1",1.00042437635008,7836.95858701556,21412.3879399621
"pi_28.1",1.00070340581603,4283.10333655799,10551.94479215
"pi_29.1",1.00004385491412,24447.7131365066,29637.4533508029
"pi_30.1",1.00034497152611,9922.85876973419,36938.9056448191
"pi_31.1",1.00102029557532,2765.97935151174,7547.13412591678
"pi_32.1",1.0001758586222,28811.9165861561,29726.402945379
"pi_33.1",1.00012872481388,22351.2757682234,22305.2641008105
"pi_34.1",1.00141504489018,2108.02299846855,7209.83174523625
"pi_35.1",1.00216786630303,2456.59061624069,8798.89535869856
"pi_36.1",1.00082865690369,3256.32621013177,6554.27696716551
"pi_37.1",1.00116384902646,2335.36570164833,5524.36863402762
"pi_38.1",1.00008064807434,68526.800663771,74067.7401810655
"pi_38.2",1.00023426900556,25624.4278298049,42326.4568170091
"pi_38.3",0.999999799246518,97982.7995699054,97603.0349890329
"pi_39.1",1.00092495509725,1923.31648470569,5047.35277636962
"pi_40.1",1.00024676155151,22309.5458734016,38934.0440906249
"pi_41.1",1.00006919206185,14370.0795093941,40190.4334919495
"pi_42.1",1.00009930761409,26736.8066849326,28114.4068941853
"pi_43.1",1.00096182816893,5535.37775757314,11289.7097510017
"pi_43.2",1.00041779934739,6322.08984428685,15010.8557184342
"pi_44.1",1.00066352227493,11637.7092716438,15109.4866963929
"pi_45.1",1.00007340965885,68991.7086242092,72247.8873704827
"pi_45.2",1.00008812479624,61236.5751134577,66052.8292779001
"pi_46.1",1.00086485190364,3320.5603713423,9022.86171336816
"pi_47.1",1.00009541892312,27388.840240226,42711.8077339243
"pi_48.1",1.00100057650261,10820.6978240771,11720.2271549797
"pi_49.1",1.00039323866086,9654.18800882975,10301.074600889
"pi_50.1",1.00129234346386,3299.14188688271,7567.18556831876
