"variable","rhat","ess_bulk","ess_tail"
"beta_tilde_0",1.00005889342329,78342.5840211005,140470.713409993
"beta_tilde_0.5",1.00006404971303,37427.1899664992,65532.5534232017
"beta_tilde_1.1",1.00117013218528,4655.18197720291,32692.9034499584
"beta_tilde_2.1",1.00063389848233,3093.2903028321,6800.96569237649
"beta_tilde_3.1",1.00025894385413,65294.8417899176,84774.3004693869
"beta_tilde_3.2",1.00014089559734,48120.3077364231,74910.2049134865
"beta_tilde_4.1",1.00083519182743,3124.21014273452,13616.0790968872
"beta_tilde_5.1",1.00103795906206,17670.3834570109,12862.9615574416
"beta_tilde_6.1",1.00022174177652,163822.490804161,102282.273255587
"beta_tilde_7.1",1.00022063972635,183415.473222834,139392.186048873
"beta_tilde_7.2",1.0000789291815,49468.4732100282,20396.2929375447
"beta_tilde_7.3",1.00002695445624,196119.54489087,177917.183844614
"beta_tilde_8.1",1.00063738272054,11045.2461342444,23911.6637695479
"beta_tilde_8.2",1.00016193264492,37842.5371248575,76882.5683481302
"beta_tilde_8.3",1.00037112519596,13732.2848469734,52435.1742605485
"beta_tilde_9.1",1.00002229839993,187101.675350888,171421.542953744
"beta_tilde_9.2",1.00020409063902,24466.8152550699,27242.8115047925
"beta_tilde_10.1",1.00027247763341,38342.2136868143,44133.8494091422
"beta_tilde_11.1",1.00129342620466,5520.24969623236,4158.0734599598
"beta_tilde_12.1",1.00018446432554,92560.9351072093,86471.3053799878
"beta_tilde_12.2",1.00005459667615,197292.344900439,179712.917168259
"beta_tilde_12.3",1.00020526317195,74349.0556876037,16580.6522317272
"beta_tilde_13.1",1.00141841029786,48784.3710663375,18186.2775970139
"beta_tilde_14.1",1.00040248469039,15732.7435244808,9893.48598849024
"beta_tilde_15.1",1.00294828661871,15472.0419804638,9502.74915473692
"beta_tilde_16.1",1.00000767562325,145989.372228721,146294.242480483
"beta_tilde_17.1",1.00022175621632,25790.4948171238,63232.6704545227
"beta_tilde_18.1",1.00033823376319,21002.9614308438,49473.3096661131
"beta_tilde_18.2",1.00002746405754,133570.475962285,150171.128884261
"beta_tilde_19.1",1.00001544401222,55228.0422537656,109166.068908834
"beta_tilde_19.2",1.00006504100789,173785.883252805,159905.195760505
"beta_tilde_20.1",1.00142499565663,2650.42531583505,6166.09702118297
"beta_tilde_21.1",1.00009688220755,74854.7320079751,105828.798462366
"beta_tilde_21.2",1.00029620953691,62534.3477834716,82949.9072569619
"beta_tilde_21.3",1.00010929656741,35382.9034027327,42396.9403991047
"beta_tilde_22.1",1.00257144512948,2558.48448392299,1251.90236211012
"beta_tilde_23.1",1.00036980186814,28439.6797251245,17135.3003182534
"beta_tilde_24.1",1.00370335347582,2347.46543230095,1074.49481229661
"beta_tilde_25.1",1.00010239309067,186987.039023074,150173.35133606
"beta_tilde_26.1",1.00103003285028,83379.5676917822,22190.5461591082
"beta_tilde_27.1",1.00018867619624,104347.390849533,82039.1636411253
"beta_tilde_28.1",1.00058485615812,81156.3482663396,44041.8913221972
"beta_tilde_29.1",1.00003549898527,190059.613148287,163313.336436158
"beta_tilde_30.1",1.00017446181176,160353.87542603,88224.1875002287
"beta_tilde_31.1",1.000819645663,47524.825154169,27661.1500542548
"beta_tilde_32.1",1.00004876234753,196877.805289893,154493.332756837
"beta_tilde_33.1",1.00001629977844,192150.580464518,154017.544526703
"beta_tilde_34.1",1.00078184588165,50895.5493601871,19952.2860858259
"beta_tilde_35.1",1.00044488098301,8441.90471755671,17075.31936172
"beta_tilde_36.1",1.00074537248448,10275.6925744605,26274.5010350512
"beta_tilde_37.1",1.00034730809244,9337.99899334012,8592.28618800365
"beta_tilde_38.1",1.00001200960017,199927.222628107,194078.362391136
"beta_tilde_38.2",1.00006233724438,188669.842987933,153007.437332501
"beta_tilde_38.3",1.00003766614028,199136.14008758,192936.314421879
"beta_tilde_39.1",1.00042386610927,11525.182261527,19158.1442356238
"beta_tilde_40.1",1.00005579365833,197579.376720124,178645.593997736
"beta_tilde_41.1",1.00004196865469,175648.990038008,122989.07199794
"beta_tilde_42.1",1.00002990643391,183805.851263015,164235.423007198
"beta_tilde_43.1",1.0002147237333,93506.1944037216,68492.9074341876
"beta_tilde_43.2",1.00011201917871,75102.6918550737,80059.842901085
"beta_tilde_44.1",1.00012644734837,116125.089417731,118297.528292395
"beta_tilde_45.1",1.00002566352648,199212.898061268,185387.935953236
"beta_tilde_45.2",0.999994420997933,197643.521480331,170767.640279077
"beta_tilde_46.1",1.00044943100574,43350.3888473944,29951.3068933862
"beta_tilde_47.1",1.00007731397633,177920.6462351,170952.169901448
"beta_tilde_48.1",1.00009529586297,164902.954041907,113628.726556781
"beta_tilde_49.1",1.00001335574857,161975.238684912,121076.985460868
"beta_tilde_50.1",1.00030421314845,19630.700978112,30474.0362982851
