"cancer","cov_id","beta_mean","beta_sd","beta_q025","beta_q500","beta_q975","pip"
"ACC","0",8.51068824012982,0.306301196414934,7.93192842675634,8.50252744459632,9.13492257234037,1
"ACC","0.5",-0.199746054160965,0.21468966250054,-0.636190087308581,-0.190240309582542,0.18003906043461,0.87641
"ACC","1.1",0.115513755277361,0.223427575540228,-0.0414572062695706,0.00576517111115133,0.72953611441637,0.3413
"ACC","2.1",0.0809014624077388,0.210568943514096,-0.019315147521466,0.00297447050640334,0.757577175944431,0.170835
"ACC","4.1",0.0193314043059402,0.109294097541665,-0.0208696690293417,0.000936813141690412,0.369376189204835,0.06203
"ACC","5.1",-0.0627963134834618,0.173302213887503,-0.631556736498417,-0.0026932014623025,0.020706330856453,0.171515
"ACC","8.1",-0.0152131082141249,0.0926851751943764,-0.27905492776995,-0.000872192455223256,0.0199963970090656,0.045825
"ACC","8.2",0.0233088217637515,0.115905206871011,-0.0196304123987739,0.00112830281127192,0.442529199103548,0.05707
"ACC","8.3",0.000289879131618857,0.0398293163726811,-0.021469177825331,3.08595289399061e-05,0.0217287936788408,0.021205
"ACC","10.1",-0.0420898718209525,0.147748331095717,-0.573481907363539,-0.00184424441661549,0.0203133987781624,0.11385
"ACC","20.1",-0.180556149398967,0.321591051030695,-1.04068876824231,-0.00699465450501266,0.0298793798528554,0.367295
"ACC","22.1",0.123469778715928,0.252388930856856,-0.0936349757133685,0.0054055870376847,0.821312568897235,0.348735
"ACC","24.1",-0.0269250116044235,0.141321596793689,-0.502633783035226,-0.000766451269702613,0.0536207695417993,0.11752
"ACC","34.1",0.000534984174148172,0.103929220830352,-0.227635515854429,1.45456533859181e-05,0.231359442078686,0.11413
"ACC","35.1",0.138397711136704,0.294414454824176,-0.185375791846055,0.0053712060350804,0.950615936402126,0.37002
"ACC","37.1",0.50543851227635,0.385827763739454,-0.0139966520008795,0.552097979633882,1.20531696713354,0.747325
"ACC","39.1",0.119392072229036,0.255321025637796,-0.142973289078732,0.00502409924137758,0.830160929219702,0.349055
"BLCA","0",7.12787410865915,0.0934879093672479,6.94531239288886,7.12765292409229,7.31123524232595,1
"BLCA","0.5",-0.393501829476596,0.0952922428112448,-0.581703596169114,-0.393290495800638,-0.208157484950635,0.999955
"BLCA","1.1",0.0194160798146853,0.0629985532115678,-0.0233998767948235,0.00239451970144111,0.230652254558366,0.164725
"BLCA","2.1",0.0277193330778408,0.075780849753938,-0.0169315691912664,0.00383703649444362,0.284763420367984,0.127635
"BLCA","3.1",0.00184719534416687,0.0171891507746815,-0.0191429786290557,0.000921442496400945,0.0226326273601967,0.016655
"BLCA","3.2",0.00366541727548353,0.024718176988957,-0.0188418729547631,0.00128337771292112,0.0259781765652394,0.02399
"BLCA","4.1",0.000391275351239325,0.0147803051913996,-0.020148747491047,0.000207469572077358,0.0209578949135687,0.014665
"BLCA","5.1",-0.0110507886807411,0.0463030399069533,-0.180099452871795,-0.00187761944746805,0.0189392090180262,0.07268
"BLCA","8.1",0.000841293315853007,0.0138136761269448,-0.0194001273847104,0.000541652128302816,0.0208536828060789,0.008665
"BLCA","8.2",-0.00167734996559462,0.0152417443072249,-0.0219033626747812,-0.00100952427232357,0.0187511330078741,0.01118
"BLCA","8.3",-0.000984601514293747,0.013706695589541,-0.0211351698334686,-0.000638311855585295,0.0192960853769125,0.00908
"BLCA","10.1",0.00191071417880692,0.0246079045678937,-0.0205569354409546,0.000487616727993359,0.0238316356506734,0.027195
