"variable","mean","sd","2.5%","50%","97.5%","rhat","ess_bulk","ess_tail"
"beta_tilde_0",8.0595653515588,0.2337497998516,7.60062954410373,8.05796243208574,8.52370039060914,1.00002423563652,90262.4297549874,139347.692997035
"beta_tilde_0.5",-0.315672565232748,0.0729578283122205,-0.46039759411871,-0.314942544664185,-0.173103883546155,1.00012299923531,46238.2632666327,88013.0580085471
"beta_tilde_1.1",0.203436369584414,0.328503432084587,-0.5032033051796,0.211143077989311,0.773415770711862,1.00520865896157,9195.2743255904,1176.26776068045
"beta_tilde_2.1",0.2967036817048,0.700676765042104,-1.33540037881974,0.291701699072337,1.68890027306089,1.00197314704547,2287.29649522641,4815.34977248552
"beta_tilde_3.1",-0.046987879651634,0.839848901056783,-1.75295771506914,-0.0773989458504706,1.75681150680881,1.00033177275813,75375.910606006,77823.3136833891
"beta_tilde_3.2",0.0469565273733539,0.848421858734288,-1.75712098625748,0.068524679995796,1.78127298179814,1.00008004602468,70662.9385716268,82710.8720535847
"beta_tilde_4.1",-0.192148946199503,0.797896986213697,-1.78230251530011,-0.205785741485743,1.57680208490813,1.00061466832187,3871.53887298018,17334.8815552214
"beta_tilde_5.1",-0.213318040410979,0.454126675887212,-1.08812391846109,-0.215635953033632,0.794042448993128,1.00075515866033,14846.3101917862,1932.79533753476
"beta_tilde_6.1",0.0266514756089505,0.906436470347829,-1.84671302993487,0.0490364965452856,1.85108966727089,1.00009905492242,195073.859644144,142254.354200932
"beta_tilde_7.1",-0.0149904084392515,0.933776808531335,-1.87332415977147,-0.0303198361874133,1.8913234839846,1.00008883190041,191333.658503784,168753.214088882
"beta_tilde_7.2",-0.375266531449455,0.533011482650505,-1.34277973902617,-0.399715057779459,0.764097617831358,1.0002803064733,34531.9324277405,13045.0767679084
"beta_tilde_7.3",-0.022047616234164,0.923783038289037,-1.8777405335049,-0.0406592560362184,1.87668363970562,1.00006235597912,189256.726899442,154601.133346394
"beta_tilde_8.1",-0.0465716229985646,0.856262862222939,-1.7706050900624,-0.0683005922836544,1.76948523944886,1.00035704711169,41735.2760807108,83902.186086876
"beta_tilde_8.2",-0.0539659249205447,0.857253223582269,-1.80138500451053,-0.0386172058914243,1.72620421808694,1.00038152579701,9304.91676949282,54656.6323499804
"beta_tilde_8.3",0.0775296003867113,0.853686002786164,-1.72612796866823,0.0851985258620931,1.78360309679266,1.00079576829694,9778.48848782388,53059.9972267393
"beta_tilde_9.1",-0.012173271164099,0.929277068440384,-1.88126337962438,-0.0233958352352536,1.86716523377958,1.00002437582875,178637.843289946,164960.103028187
"beta_tilde_9.2",-0.106022944747014,0.847432103157444,-1.74767011818093,-0.159275102540492,1.74443373226668,1.00025299395142,52135.3492922895,61706.8232896466
"beta_tilde_10.1",-0.0844987678601718,0.677568164986085,-1.50090114449745,-0.105999942357592,1.48845894555023,1.00054058695179,23055.071762311,11069.5534561286
"beta_tilde_11.1",0.320232178643935,0.377831602564911,-0.438835961635881,0.332000933292685,0.996241088484544,1.00125430113691,3356.00295613213,6001.24367002733
"beta_tilde_12.1",-0.0979687507895766,0.814110938466284,-1.7098763857652,-0.144652847110585,1.70934208050384,1.0002907915938,76291.3781398386,62934.7418476357
"beta_tilde_12.2",-0.00981776874170901,0.954435130323947,-1.9145823223197,-0.0169893746146607,1.90729856608657,0.999997626988908,197103.350883309,184851.158597742
"beta_tilde_12.3",-0.224595654786896,0.5906811770992,-1.31891008715442,-0.253334317304646,1.1210887837994,1.00052052625702,61010.9925439459,11745.1925420849
"beta_tilde_13.1",-0.0170203448405755,0.808548028023175,-1.72144540651395,-0.0329300920125552,1.72671305267727,1.00055281739678,113722.777438678,64839.7631658128
"beta_tilde_14.1",-0.139886854220161,0.501996108986185,-1.12424810494846,-0.142491838650614,0.911814862334318,1.00024727319073,35589.2920523979,9689.04892688052
"beta_tilde_15.1",-0.0166984058098847,0.669791940526326,-1.40499021971592,-0.0609237695517851,1.58191650779361,1.00158879737989,10411.6551056758,8376.81041434997
"beta_tilde_16.1",-0.405095058812773,0.447643614233148,-1.27269389271172,-0.41096348049438,0.500685083913576,1.00004485848395,157248.902894805,179040.40368404
"beta_tilde_17.1",-0.0190504342005929,0.830310163410676,-1.70685094730597,-0.0347873923351187,1.70955577049119,1.00033041373382,18388.9461922011,59226.3135247724
"beta_tilde_18.1",0.109964462382211,0.864820800978703,-1.74535909906899,0.160972319985018,1.76721880478812,1.00013748634019,41056.5710653439,73890.7206187972
"beta_tilde_18.2",-0.00265032637383853,0.930278741641439,-1.86945617275811,-0.00836504745801081,1.89591616501949,1.00003076205167,170187.150576232,163706.108979551
"beta_tilde_19.1",0.118475863939738,0.863746853065796,-1.74764116186036,0.170299296834692,1.76997658085554,1.00011672858738,31216.625025611,66670.4301864138
"beta_tilde_19.2",-8.24841637437187e-05,0.92693414411466,-1.87762305574136,-0.00256945558418885,1.87023221001407,1.00001730824024,184465.724736479,171275.46448246
"beta_tilde_20.1",0.0158914322019088,0.525757934881522,-0.872856147788554,-0.0645142437848885,1.40192954153477,1.00248302275928,2062.72226801144,2586.969312102
"beta_tilde_21.1",0.0219905880303668,0.862095467846532,-1.77202633162832,0.0343243295793638,1.7758336545539,1.00014205112288,70433.9498882867,99575.2240663957
"beta_tilde_21.2",0.0353644396022298,0.847186531370087,-1.746382122396,0.0534487126208674,1.74437117774893,1.00005264091756,62551.9107681835,87978.9258007285
"beta_tilde_21.3",0.11623805033388,0.782142654997121,-1.60843414314619,0.159903057005895,1.63150341133642,1.00038168244953,30494.1292213781,43753.9393142484
"beta_tilde_22.1",0.460033724598759,0.405483230373832,-0.314520628767271,0.446009911989163,1.27208390450759,1.00365896204632,1896.65522994246,867.118635588506
"beta_tilde_23.1",-0.0787318668125234,0.710169743651776,-1.55684796962797,-0.114463588396,1.56358525042733,1.00178397490126,76142.0661521936,19414.8563875702
"beta_tilde_24.1",-0.391564533292424,0.543479479514868,-1.41983985301179,-0.395224556710199,0.885113157999795,1.00353935548099,1675.38290707461,797.040339432612
"beta_tilde_25.1",-0.00912622155460581,0.915204858264412,-1.86960894967781,-0.0131400070511194,1.86277935381399,1.00009311263148,188409.581211833,158501.07387575
"beta_tilde_26.1",0.0393901604919559,0.753071868169075,-1.64300116993484,0.0525402181847894,1.63293834286878,1.00044115093828,109812.719900096,38270.5333609004
"beta_tilde_27.1",0.062894727788462,0.785583045791724,-1.66590674444821,0.0977694060343368,1.66534215289837,1.00041359289372,69139.4281101146,38312.9192689392
"beta_tilde_28.1",-0.0024100450331076,0.885771306562357,-1.82671841525636,-0.00232138516328448,1.83047483022476,1.00024628431496,177502.425165168,131043.691941333
"beta_tilde_29.1",-0.00637365865868339,0.951072135807151,-1.91518735861292,-0.0119119143251877,1.90084461892127,1.00005695672902,197349.107031754,183635.873998244
"beta_tilde_30.1",0.0606870489503374,0.833410838036392,-1.72498344341215,0.0905000116779761,1.76098901057276,1.00046783233094,155823.085053288,66767.6497837541
"beta_tilde_31.1",0.039398860479365,0.697630546081274,-1.5284801064362,0.0479831580976842,1.54187842598456,1.00112191978627,58282.734462567,18567.0847870177
"beta_tilde_32.1",-0.00616147857280828,0.875740377110963,-1.82103461071665,-0.00992004416405457,1.80835487005704,1.00028352411762,183447.821136972,124888.978929151
"beta_tilde_33.1",-0.0123619552681935,0.917201788586514,-1.86035724797881,-0.0286545672968851,1.86701549315176,1.00001776822607,195398.927354622,159481.65618251
"beta_tilde_34.1",-0.181542820637136,0.503887906637278,-1.1702315155761,-0.180748210242678,0.925548022834207,1.00076280534828,19216.6078919539,3102.57723497079
"beta_tilde_35.1",0.0463332352408129,0.706712630682843,-1.48184094651792,0.0653254299617352,1.49751584941609,1.00071360604759,19618.2611805984,27118.7288069056
"beta_tilde_36.1",-0.022329974902983,0.86946464905728,-1.83386347804245,0.00261014504233135,1.76792503137722,1.0001314947071,35540.6231859222,46534.4564669577
"beta_tilde_37.1",0.442608913469827,0.578762151364975,-0.925791262050069,0.461293672665361,1.49209283253566,1.00031146412742,8466.68299223203,4923.45259353343
"beta_tilde_38.1",-0.00109093934847885,0.963915373074917,-1.91456390216081,-0.00376123616530187,1.93661223357733,1.00001327631764,197930.77403123,189730.612069221
"beta_tilde_38.2",-0.00711010117354261,0.953605237599549,-1.90382185551043,-0.0169790868384567,1.91507457567634,1.0000088872185,198113.851934576,178106.224992434
"beta_tilde_38.3",0.00287214773991259,0.970619395387772,-1.93387973186424,0.00589805173589065,1.9253300461634,1.00001955376629,199334.325569944,190564.584751552
"beta_tilde_39.1",0.0435924850875719,0.618430408275555,-1.32218263498804,0.0767050719825414,1.31506398364322,1.00064035351917,6611.28678970634,9825.02872900388
"beta_tilde_40.1",0.0171547672602676,0.926269967326058,-1.87389818086957,0.0338860327606271,1.8797649559202,1.00012198718631,179454.426111002,156201.389985294
"beta_tilde_41.1",0.0541511557884924,0.851055484276527,-1.77798200536062,0.092590503418575,1.77063738902738,1.00009963718742,158567.712593746,87547.0229781218
"beta_tilde_42.1",-0.0121792899180619,0.905278181446026,-1.84742397094385,-0.0198436534054452,1.84517307461592,1.00003172135258,141205.505063588,149881.472093331
"beta_tilde_43.1",0.0272665156472416,0.86113545785335,-1.78959530480225,0.0455445587174713,1.79220529626786,1.00013520975481,124773.050549693,100714.783134865
"beta_tilde_43.2",-0.0118874375975661,0.775204853187475,-1.65108695704597,-0.0177972741317733,1.66433087593871,1.00028438045191,87548.7463555674,46324.3118993046
"beta_tilde_44.1",0.0282821375475386,0.886539734201635,-1.82102980169292,0.0440298848418356,1.81390561000023,1.00011648350916,115810.905326415,132950.65318389
"beta_tilde_45.1",-0.0060611667235774,0.956230582151965,-1.91291806997798,-0.0111519060350105,1.91296281821755,1.0000358109119,198190.716711147,184138.57715107
"beta_tilde_45.2",0.0072074602059111,0.951790344655207,-1.90319326164881,0.0152194285580891,1.90622288047338,1.00001892965172,195570.572152236,179062.887124871
"beta_tilde_46.1",-0.136124373078562,0.746057837420613,-1.61179100986242,-0.186893481194281,1.60079840993118,1.00043935929214,44824.2363812871,28052.8902904903
"beta_tilde_47.1",0.0190130742370118,0.926294906764758,-1.86836024847878,0.0329815952541409,1.87170116879178,1.00009627490943,172328.525392733,153794.709293696
"beta_tilde_48.1",-0.00456329526290544,0.920046626226317,-1.86762128371072,-0.0088789529074424,1.87143129239895,1.00007800071861,193673.983075434,158879.349614234
"beta_tilde_49.1",-0.0343994518701743,0.870478345912896,-1.79808121512871,-0.057322472382322,1.80145995713622,1.00021646080363,139827.151864859,118756.194885745
"beta_tilde_50.1",-0.163436578019666,0.808983999284642,-1.7079390155122,-0.212694823255846,1.66527411837157,1.00054541231314,18332.113330381,35385.2157541365
