"cov_id","cancer","n_samples","beta_mean","beta_sd","beta_q025","beta_q500","beta_q975"
"8.2","ACC",200000,0.0629077182343753,0.209739695133235,-0.0191214754404009,0.00202971223310439,0.805671851113387
"8.2","BLCA",200000,-0.00347771557654359,0.0230536220125009,-0.0248714672334401,-0.00144176409838547,0.0184718988539749
"8.2","BRCA",200000,-0.0112699135891332,0.0471288164672519,-0.185965866238725,-0.00257859435000318,0.0175215883100477
"8.2","CESC",200000,-0.000215927849239243,0.0259278078438299,-0.0211543191011081,-7.03639066839371e-05,0.0210670404250207
"8.2","CHOL",200000,0.0181830245948859,0.124052629323069,-0.0213126062024481,0.000563311652327865,0.349819344203149
"8.2","CORE",200000,0.00155563733892979,0.0171018669463702,-0.0191819588980279,0.000713378458615,0.0219433083544558
"8.2","DLBC",200000,-0.0219230607422994,0.158471923211083,-0.445957433443849,-0.000569636984387416,0.0219651651316142
"8.2","ESCA",200000,0.00190323844113818,0.0309029733644943,-0.0202714145746716,0.000285859823337297,0.0225337389390522
"8.2","HNSC",200000,0.000603794012917966,0.0176677194595002,-0.0201583472998264,0.00024464480053071,0.0210583976589657
"8.2","KICH",200000,0.00102190811127388,0.062705613562491,-0.022583629781996,4.40795194143076e-05,0.0235048764658707
"8.2","KIRC",200000,0.000410111140847878,0.0139243232453254,-0.0199792785182592,0.000303307823551103,0.0206624027854182
"8.2","KIRP",200000,-0.0027022317543599,0.0331662905154142,-0.0232467588155317,-0.00049424114591334,0.0202642936474365
"8.2","LIHC",200000,0.000137640852335878,0.0198856247373417,-0.0206873078702535,5.29627369335192e-05,0.020698718033986
"8.2","LUAD",200000,0.00146902964063342,0.0174105114513317,-0.0194042940037015,0.00066323699669902,0.021920540403338
"8.2","LUSC",200000,0.00139614186833362,0.0183240462848954,-0.019421724520118,0.000586646786876904,0.0218020030117849
"8.2","MESO",200000,0.00251563111245422,0.0341109690212249,-0.0202383562618608,0.000353007297982916,0.0229769623989771
"8.2","OV",200000,-0.00459833611609975,0.031292962362297,-0.0271614241716789,-0.00124682294553168,0.0188357296313383
"8.2","PAAD",200000,0.00151333374688237,0.0242604674512417,-0.0201851804711945,0.000333283793059252,0.0220015374702594
"8.2","PCPG",200000,0.0054592457791367,0.0871342679386689,-0.0228100617853641,0.000250361575456498,0.0369131869955081
"8.2","PRAD",200000,0.0161953748111937,0.0900814773176556,-0.0196888623014813,0.000942668397366275,0.310485287613956
"8.2","SARC",200000,0.00345519000115781,0.0298586262418592,-0.0192989836621294,0.000826523964157792,0.0243067820578558
