"cov_id","hierarchy","group","n_cancers","group_mean","within_group_sd","within_group_range","sign_agreement","cancer_list","cancer_betas"
"8.2","tissue/1b_11bin","Male repro+bladder",3,0.00515786916855337,0.0100540807312037,0.0196730903877373,0.666666666666667,"BLCA,PRAD,TGCT","BLCA=-0.003; PRAD=0.016; TGCT=0.003"
"8.2","tissue/1b_11bin","Breast",1,-0.0112699135891332,NA,0,1,"BRCA","BRCA=-0.011"
"8.2","tissue/1b_11bin","Gynecological",4,-0.00113256790034446,0.00283735082218792,0.00674668141475661,0.75,"CESC,OV,UCEC,UCS","CESC=-0.000; OV=-0.005; UCEC=-0.002; UCS=0.002"
"8.2","tissue/1b_11bin","Hepatobiliary+pancreas",3,0.00661133306470139,0.0100449572615982,0.01804538374255,1,"CHOL,LIHC,PAAD","CHOL=0.018; LIHC=0.000; PAAD=0.002"
"8.2","tissue/1b_11bin","GI tract",3,0.00172937799943768,0.000173800582061084,0.000347601102208386,1,"CORE,ESCA,STAD","CORE=0.002; ESCA=0.002; STAD=0.002"
"8.2","tissue/1b_11bin","Soft+heme+H&N",3,-0.00595469224274121,0.0139023094906458,0.0253782507434572,0.333333333333333,"DLBC,HNSC,SARC","DLBC=-0.022; HNSC=0.001; SARC=0.003"
"8.2","tissue/1b_11bin","Kidney",3,-0.000423404167412713,0.00199708919718907,0.00372413986563378,0.333333333333333,"KICH,KIRC,KIRP","KICH=0.001; KIRC=0.000; KIRP=-0.003"
"8.2","tissue/1b_11bin","Lung+pleura",3,0.00179360087380709,0.00062635765021139,0.0011194892441206,1,"LUAD,LUSC,MESO","LUAD=0.001; LUSC=0.001; MESO=0.003"
"8.2","tissue/1b_11bin","Skin",1,0.00833205342350106,NA,0,1,"SKCM","SKCM=0.008"
"10.1","epi/2a_3bin","Epithelial",21,-0.00189335837637975,0.0207363769464103,0.108534044062003,0.380952380952381,"ACC,BLCA,BRCA,CESC,CHOL,CORE,ESCA,HNSC,KICH,KIRC,KIRP,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,THCA,THYM,UCEC","ACC=-0.023; BLCA=0.001; BRCA=0.002; CESC=0.006; CHOL=0.036; CORE=-0.000; ESCA=-0.031; HNSC=-0.000; KICH=-0.006; KIRC=-0.001; KIRP=0.001; LIHC=-0.073; LUAD=0.001; LUSC=0.001; OV=0.016; PAAD=0.010; PRAD=0.012; STAD=0.004; THCA=0.005; THYM=-0.002; UCEC=0.000"
"10.1","epi/2a_3bin","Hematological",1,-0.0177601972928871,NA,0,1,"DLBC","DLBC=-0.018"
"10.1","epi/2a_3bin","Non-epithelial",3,-0.0226160289422672,0.0193283364411423,0.0347790901325307,1,"PCPG,SARC,SKCM","PCPG=-0.035; SARC=-0.032; SKCM=-0.000"
"10.1","epi/2c_10bin","Glandular adeno",8,0.00148792243504424,0.0107085709932832,0.0347438608029571,0.75,"ACC,BRCA,CORE,LUAD,PAAD,PRAD,STAD,THCA","ACC=-0.023; BRCA=0.002; CORE=-0.000; LUAD=0.001; PAAD=0.010; PRAD=0.012; STAD=0.004; THCA=0.005"
"10.1","epi/2c_10bin","Urothelial",1,0.00100651182136603,NA,0,1,"BLCA","BLCA=0.001"
"10.1","epi/2c_10bin","Squamous",4,-0.00599395635838403,0.0166227843015925,0.0365607418950099,0.5,"CESC,ESCA,HNSC,LUSC","CESC=0.006; ESCA=-0.031; HNSC=-0.000; LUSC=0.001"
"10.1","epi/2c_10bin","Cholangiocarcinoma",1,0.0357084023374884,NA,0,1,"CHOL","CHOL=0.036"
"10.1","epi/2c_10bin","Other (germ/melan/neuroend/heme/thymic)",4,-0.0139331625661797,0.0161204006733524,0.0347790901325307,1,"DLBC,PCPG,SKCM,THYM","DLBC=-0.018; PCPG=-0.035; SKCM=-0.000; THYM=-0.002"
"10.1","epi/2c_10bin","RCC",3,-0.00174868635719369,0.00396496542517908,0.00763410761565923,0.666666666666667,"KICH,KIRC,KIRP","KICH=-0.006; KIRC=-0.001; KIRP=0.001"
"10.1","epi/2c_10bin","HCC",1,-0.072825641724515,NA,0,1,"LIHC","LIHC=-0.073"
"10.1","epi/2c_10bin","Endometrioid+serous",2,0.00807583791633872,0.0111912734275425,0.0158268506614562,1,"OV,UCEC","OV=0.016; UCEC=0.000"
"10.1","epi/2c_10bin","Mesench/mesothelial/sarcoma",1,-0.0323586030011981,NA,0,1,"SARC","SARC=-0.032"
"10.1","germ/3b_mid","Intermediate mesoderm",5,-0.00240058811805306,0.0140075438416149,0.0387354080128179,0.6,"ACC,KICH,KIRC,KIRP,OV","ACC=-0.023; KICH=-0.006; KIRC=-0.001; KIRP=0.001; OV=0.016"
"10.1","germ/3b_mid","Foregut endoderm",8,-0.00571012316139806,0.0325376673573566,0.108534044062003,0.25,"CHOL,ESCA,LIHC,LUAD,LUSC,PAAD,STAD,THCA","CHOL=0.036; ESCA=-0.031; LIHC=-0.073; LUAD=0.001; LUSC=0.001; PAAD=0.010; STAD=0.004; THCA=0.005"
"10.1","germ/3b_mid","Hindgut endoderm",1,-8.51427675738346e-05,NA,0,1,"CORE","CORE=-0.000"
"10.1","germ/3b_mid","Hematopoietic mesoderm",1,-0.0177601972928871,NA,0,1,"DLBC","DLBC=-0.018"
"10.1","germ/3b_mid","Lateral plate mesoderm",3,0.00173984889058366,0.00391314535000614,0.00733388779791166,0.666666666666667,"MESO,UCEC,UCS","MESO=0.006; UCEC=0.000; UCS=-0.001"
"10.1","germ/3b_mid","Neural crest",2,-0.0177447419128017,0.0245925304762106,0.0347790901325307,1,"PCPG,SKCM","PCPG=-0.035; SKCM=-0.000"
"10.1","germ/3b_mid","Paraxial+lateral mesoderm",1,-0.0323586030011981,NA,0,1,"SARC","SARC=-0.032"
"10.1","tissue/1b_11bin","Endocrine",4,-0.0137531583521203,0.0185292886446617,0.0404850544616326,0.75,"ACC,PCPG,THCA,THYM","ACC=-0.023; PCPG=-0.035; THCA=0.005; THYM=-0.002"
"10.1","tissue/1b_11bin","Male repro+bladder",2,0.00650211392928604,0.00777195503442664,0.01099120421584,1,"BLCA,PRAD","BLCA=0.001; PRAD=0.012"
"10.1","tissue/1b_11bin","Breast",1,0.00171053806538219,NA,0,1,"BRCA","BRCA=0.002"
"10.1","tissue/1b_11bin","Gynecological",4,0.00524533566690626,0.00780047390354376,0.0171276401029525,0.75,"CESC,OV,UCEC,UCS","CESC=0.006; OV=0.016; UCEC=0.000; UCS=-0.001"
"10.1","tissue/1b_11bin","Hepatobiliary+pancreas",3,-0.00887667485713159,0.0567990303399401,0.108534044062003,0.333333333333333,"CHOL,LIHC,PAAD","CHOL=0.036; LIHC=-0.073; PAAD=0.010"
"10.1","tissue/1b_11bin","GI tract",3,-0.00888464799133067,0.0189116534174263,0.0346165952019351,0.666666666666667,"CORE,ESCA,STAD","CORE=-0.000; ESCA=-0.031; STAD=0.004"
"10.1","tissue/1b_11bin","Soft+heme+H&N",3,-0.0168241702010687,0.0160229647411241,0.0320048926920772,1,"DLBC,HNSC,SARC","DLBC=-0.018; HNSC=-0.000; SARC=-0.032"
"10.1","tissue/1b_11bin","Kidney",3,-0.00174868635719369,0.00396496542517908,0.00763410761565923,0.666666666666667,"KICH,KIRC,KIRP","KICH=-0.006; KIRC=-0.001; KIRP=0.001"
"10.1","tissue/1b_11bin","Lung+pleura",3,0.00278752798202965,0.0029525110370751,0.00519297155309786,1,"LUAD,LUSC,MESO","LUAD=0.001; LUSC=0.001; MESO=0.006"
"10.1","tissue/1b_11bin","Skin",1,-0.000355196846536402,NA,0,1,"SKCM","SKCM=-0.000"
"1.1","epi/2a_3bin","Epithelial",21,0.0248243468720028,0.0310213984974909,0.128827638934384,0.857142857142857,"ACC,BLCA,BRCA,CESC,CHOL,CORE,ESCA,HNSC,KICH,KIRC,KIRP,LIHC,LUAD,LUSC,OV,PAAD,PRAD,STAD,THCA,THYM,UCEC","ACC=0.048; BLCA=0.004; BRCA=0.041; CESC=0.008; CHOL=0.019; CORE=-0.001; ESCA=0.013; HNSC=0.018; KICH=0.080; KIRC=-0.010; KIRP=0.015; LIHC=0.119; LUAD=0.057; LUSC=0.003; OV=-0.010; PAAD=0.020; PRAD=0.005; STAD=0.008; THCA=0.041; THYM=0.021; UCEC=0.022"
"1.1","epi/2a_3bin","Hematological",1,0.0709027390039306,NA,0,1,"DLBC","DLBC=0.071"
"1.1","epi/2a_3bin","Non-epithelial",5,0.0863581131574314,0.124256941498778,0.317808471877108,0.8,"LGG,PCPG,SARC,SKCM,TGCT","LGG=0.018; PCPG=0.100; SARC=0.233; SKCM=0.165; TGCT=-0.085"
"1.1","epi/2c_10bin","Glandular adeno",8,0.0273219984842716,0.0220676621287721,0.0575829253535104,0.875,"ACC,BRCA,CORE,LUAD,PAAD,PRAD,STAD,THCA","ACC=0.048; BRCA=0.041; CORE=-0.001; LUAD=0.057; PAAD=0.020; PRAD=0.005; STAD=0.008; THCA=0.041"
"1.1","epi/2c_10bin","Urothelial",1,0.00423504236447801,NA,0,1,"BLCA","BLCA=0.004"
"1.1","epi/2c_10bin","Squamous",4,0.0106291826252592,0.0064868454490857,0.0148326760350896,1,"CESC,ESCA,HNSC,LUSC","CESC=0.008; ESCA=0.013; HNSC=0.018; LUSC=0.003"
"1.1","epi/2c_10bin","Cholangiocarcinoma",1,0.0186778925159162,NA,0,1,"CHOL","CHOL=0.019"
"1.1","epi/2c_10bin","Other (germ/melan/neuroend/heme/thymic)",5,0.0544982375017111,0.0935186133814575,0.249495780996715,0.8,"DLBC,PCPG,SKCM,TGCT,THYM","DLBC=0.071; PCPG=0.100; SKCM=0.165; TGCT=-0.085; THYM=0.021"
"1.1","epi/2c_10bin","RCC",3,0.028310564922771,0.046346839613643,0.0898095307624694,0.666666666666667,"KICH,KIRC,KIRP","KICH=0.080; KIRC=-0.010; KIRP=0.015"
"1.1","epi/2c_10bin","Glial",1,0.0184028165184682,NA,0,1,"LGG","LGG=0.018"
"1.1","epi/2c_10bin","HCC",1,0.118772933054069,NA,0,1,"LIHC","LIHC=0.119"
"1.1","epi/2c_10bin","Endometrioid+serous",2,0.00612512894154896,0.0228817418420358,0.0323596696437269,0.5,"OV,UCEC","OV=-0.010; UCEC=0.022"
"1.1","epi/2c_10bin","Mesench/mesothelial/sarcoma",1,0.233150046115038,NA,0,1,"SARC","SARC=0.233"
"1.1","germ/3b_mid","Intermediate mesoderm",5,0.0245585467359057,0.0389933582916794,0.0898930160833539,0.6,"ACC,KICH,KIRC,KIRP,OV","ACC=0.048; KICH=0.080; KIRC=-0.010; KIRP=0.015; OV=-0.010"
"1.1","germ/3b_mid","Foregut endoderm",8,0.0349291175226488,0.0382474495030518,0.115571801460993,1,"CHOL,ESCA,LIHC,LUAD,LUSC,PAAD,STAD,THCA","CHOL=0.019; ESCA=0.013; LIHC=0.119; LUAD=0.057; LUSC=0.003; PAAD=0.020; STAD=0.008; THCA=0.041"
"1.1","germ/3b_mid","Hindgut endoderm",1,-0.000763975879629714,NA,0,1,"CORE","CORE=-0.001"
"1.1","germ/3b_mid","Hematopoietic mesoderm",1,0.0709027390039306,NA,0,1,"DLBC","DLBC=0.071"
"1.1","germ/3b_mid","Neural ectoderm",1,0.0184028165184682,NA,0,1,"LGG","LGG=0.018"
"1.1","germ/3b_mid","Lateral plate mesoderm",3,0.0257831311397856,0.00601479572802963,0.0104234523117623,1,"MESO,UCEC,UCS","MESO=0.022; UCEC=0.022; UCS=0.033"
"1.1","germ/3b_mid","Neural crest",2,0.13244806445786,0.0458053742921752,0.06477858155357,1,"PCPG,SKCM","PCPG=0.100; SKCM=0.165"
"1.1","germ/3b_mid","Paraxial+lateral mesoderm",1,0.233150046115038,NA,0,1,"SARC","SARC=0.233"
"1.1","tissue/1b_11bin","Endocrine",4,0.0525128008814545,0.0336241790754757,0.0787080283301001,1,"ACC,PCPG,THCA,THYM","ACC=0.048; PCPG=0.100; THCA=0.041; THYM=0.021"
"1.1","tissue/1b_11bin","Male repro+bladder",3,-0.0252101604921197,0.0514844635256698,0.0894513276833022,0.333333333333333,"BLCA,PRAD,TGCT","BLCA=0.004; PRAD=0.005; TGCT=-0.085"
"1.1","tissue/1b_11bin","Breast",1,0.0413401596093995,NA,0,1,"BRCA","BRCA=0.041"
"1.1","tissue/1b_11bin","Gynecological",4,0.0131926599128947,0.0185677800205355,0.0427831219554892,0.75,"CESC,OV,UCEC,UCS","CESC=0.008; OV=-0.010; UCEC=0.022; UCS=0.033"
"1.1","tissue/1b_11bin","Hepatobiliary+pancreas",3,0.0525547550147722,0.0573517637326736,0.100095040538153,1,"CHOL,LIHC,PAAD","CHOL=0.019; LIHC=0.119; PAAD=0.020"
"1.1","tissue/1b_11bin","GI tract",3,0.00675289282934952,0.00715883643657291,0.0142538014661175,0.666666666666667,"CORE,ESCA,STAD","CORE=-0.001; ESCA=0.013; STAD=0.008"
"1.1","tissue/1b_11bin","Soft+heme+H&N",3,0.107362197582378,0.112096913896237,0.215116238486872,1,"DLBC,HNSC,SARC","DLBC=0.071; HNSC=0.018; SARC=0.233"
"1.1","tissue/1b_11bin","Kidney",3,0.028310564922771,0.046346839613643,0.0898095307624694,0.666666666666667,"KICH,KIRC,KIRP","KICH=0.080; KIRC=-0.010; KIRP=0.015"
"1.1","tissue/1b_11bin","CNS",1,0.0184028165184682,NA,0,1,"LGG","LGG=0.018"
"1.1","tissue/1b_11bin","Lung+pleura",3,0.0274453648825756,0.0271744417082996,0.0536178178808042,1,"LUAD,LUSC,MESO","LUAD=0.057; LUSC=0.003; MESO=0.022"
"1.1","tissue/1b_11bin","Skin",1,0.164837355234645,NA,0,1,"SKCM","SKCM=0.165"
"20.1","epi/2a_3bin","Epithelial",16,-0.0224160632339207,0.0421887847195624,0.15729687869227,0.75,"ACC,BLCA,CESC,CHOL,CORE,ESCA,HNSC,KICH,KIRP,LIHC,LUAD,LUSC,OV,PAAD,STAD,UCEC","ACC=-0.122; BLCA=-0.089; CESC=0.029; CHOL=0.026; CORE=-0.059; ESCA=-0.006; HNSC=-0.031; KICH=-0.036; KIRP=-0.036; LIHC=0.002; LUAD=-0.008; LUSC=-0.007; OV=-0.007; PAAD=0.036; STAD=-0.044; UCEC=-0.009"
"20.1","epi/2a_3bin","Hematological",1,0.4407549280298,NA,0,1,"DLBC","DLBC=0.441"
"20.1","epi/2a_3bin","Non-epithelial",1,-0.00501269749838586,NA,0,1,"TGCT","TGCT=-0.005"
"20.1","epi/2c_10bin","Glandular adeno",5,-0.0392151077855046,0.0587349816432529,0.15729687869227,0.8,"ACC,CORE,LUAD,PAAD,STAD","ACC=-0.122; CORE=-0.059; LUAD=-0.008; PAAD=0.036; STAD=-0.044"
"20.1","epi/2c_10bin","Urothelial",1,-0.0890165421457689,NA,0,1,"BLCA","BLCA=-0.089"
"20.1","epi/2c_10bin","Squamous",4,-0.00346345880559104,0.024746670995147,0.0600194698417104,0.75,"CESC,ESCA,HNSC,LUSC","CESC=0.029; ESCA=-0.006; HNSC=-0.031; LUSC=-0.007"
"20.1","epi/2c_10bin","Cholangiocarcinoma",1,0.0264664009360321,NA,0,1,"CHOL","CHOL=0.026"
"20.1","epi/2c_10bin","Other (germ/melan/neuroend/heme/thymic)",2,0.217871115265707,0.315205310844406,0.445767625528186,0.5,"DLBC,TGCT","DLBC=0.441; TGCT=-0.005"
"20.1","epi/2c_10bin","RCC",2,-0.0361267536472553,0.000383903370166253,0.000542921352729854,1,"KICH,KIRP","KICH=-0.036; KIRP=-0.036"
"20.1","epi/2c_10bin","HCC",1,0.00182318752164277,NA,0,1,"LIHC","LIHC=0.002"
"20.1","epi/2c_10bin","Endometrioid+serous",2,-0.00787358830511983,0.00155967064275321,0.00220570737581675,1,"OV,UCEC","OV=-0.007; UCEC=-0.009"
"20.1","germ/3b_mid","Intermediate mesoderm",4,-0.0501688093879437,0.0496239252976294,0.114880261022841,1,"ACC,KICH,KIRP,OV","ACC=-0.122; KICH=-0.036; KIRP=-0.036; OV=-0.007"
"20.1","germ/3b_mid","Foregut endoderm",7,-4.79916458945773e-05,0.0259484267265322,0.0795165700578636,0.571428571428571,"CHOL,ESCA,LIHC,LUAD,LUSC,PAAD,STAD","CHOL=0.026; ESCA=-0.006; LIHC=0.002; LUAD=-0.008; LUSC=-0.007; PAAD=0.036; STAD=-0.044"
