"b","marginal_4cov_minus_3cov"
1,1.409495075878
2,2.06382678979139
3,2.79175076550428
4,3.5089776346183
5,2.07112643265918
6,3.34845332519217
7,3.12525490732787
8,-1.29525585679448
9,3.04923905986357
10,2.72186609153778
11,0.59630664265319
12,3.16738261296541
13,2.07289383229977
14,1.51091481462072
15,1.11792856382704
16,-0.874729213014916
17,2.82526912810863
18,0.690011633281983
19,4.45084127426958
20,3.03256835946945
21,-2.02798376916962
22,0.92184365069329
23,4.614885220107
24,3.04846630141515
25,1.55110632079118
26,3.15621105377613
27,2.03518229500787
28,-3.36693816994728
29,3.93676239359183
30,3.29583954508485
31,3.58699851758411
32,2.90350909285894
33,1.651516107009
34,1.29364619173953
35,2.06706448906607
36,3.30848505033623
37,4.41354679035089
38,0.561268910050103
39,4.12766775995624
40,1.92926128224656
41,1.85572653226006
42,1.79517435031562
43,1.4042607516858
44,4.13893352383707
45,2.75748605679291
46,1.42285097359763
47,2.50441338619532
48,-1.09459580383248
49,1.66898239762122
50,3.01028719170085
51,2.17067924791581
52,2.53845629251259
53,1.00784297521977
54,-0.200820990571401
55,2.21798356087265
56,0.871520003939168
57,4.30694096940783
58,1.77700692808435
59,3.53992965370367
60,0.820137947290277
61,1.24424507441415
62,2.25433519005651
63,1.43229641773496
64,0.907518747793574
65,0.625268482369165
66,1.48358262229715
67,3.69428745255573
68,-1.74410505612775
69,1.40309144809146
70,1.69794779003462
71,2.5486439333913
72,2.07987000034916
73,-1.78229133332275
74,1.92995191012915
75,1.0970531070069
76,1.70712871788646
77,3.64881604611105
78,2.53539095591555
79,3.6618850747052
80,-0.999127942737687
81,-0.0777603150402228
82,0.434512144158134
83,0.441394193246424
84,0.0439627643809217
85,-2.02847836685601
86,3.02521624899089
87,2.19908889691237
88,-0.874356791290893
89,1.41089578013248
90,3.28078739352804
91,-0.204716603809629
92,1.95310304201394
93,2.71179690446161
94,-1.59789250851168
95,3.285052069323
96,3.76611138685189
97,3.38683030655238
98,1.70979157111447
99,1.00267341318533
100,2.26893952382682
101,1.98250861043994
102,2.38255247446114
103,-1.56439119855054
104,2.79400375280602
105,0.311232431079816
106,0.781947493243138
107,2.90970241140428
108,3.64793807441379
109,-1.98726305777143
110,2.79993160229924
111,1.40761460490376
112,2.59870247130857
113,-0.0190826251260887
114,1.28084046327626
115,0.116783742351117
116,3.16504237481684
117,0.86000831434842
118,-0.585362111453492
119,1.86037666386596
120,-2.49420007874107
121,3.02579610434077
122,0.0443773648753449
123,1.02453383780369
124,0.688803809663568
125,3.57364422181683
126,-0.909116209713261
127,2.58329063619612
128,1.91951515844585
129,0.279248363633997
130,0.953149410685683
131,1.57634500968436
132,0.288420240056098
133,0.426512758277113
134,0.555942716608911
135,1.66073566998546
136,0.406240752081544
137,2.73461778849764
138,1.22357321110667
139,2.79111155154328
140,2.71484047693912
141,0.513931003335983
142,0.00499174802712332
143,2.33246465041475
144,0.521474801610111
145,2.43874704410996
146,3.19481364916419
147,-1.58298770638817
148,1.52628984248827
149,1.73149618305979
150,-2.09701566574381
151,0.670633984824121
152,0.14580267361282
153,2.78881099323462
154,0.931997617120032
155,3.12628344493919
156,3.09083495898562
157,1.51215848199809
158,3.88269749684173
159,0.596798008313499
160,1.44576160437202
161,3.71639650375892
162,0.114143676969206
163,2.61782193237536
164,2.01694812296671
165,1.65814523491395
166,0.893281892863115
167,3.19708906174537
168,2.01165289345727
169,1.00225162810034
170,3.17056968272982
171,2.45259459126601
172,-0.160692349152214
173,-0.682596248391064
174,-1.36142938565808
175,-0.190270432883381
176,0.364246843428646
177,-1.8745088974697
178,1.57304595294477
179,1.91486497686083
180,0.0736785347924069
181,3.83870723145515
182,0.249825252305072
183,1.88048544998628
184,0.0352873853121309
185,1.75915514452799
186,-0.0304761919073826
187,0.718444852204811
188,-1.65475435020574
189,2.82750637274535
190,1.31416761381502
191,0.052203244316388
192,1.05092055242028
193,1.35839822046182
194,0.552432607765923
195,3.3011389653318
196,3.09895457381549
197,-0.747745471734788
198,2.41449266221389
199,1.62250478260853
200,3.74634723704753
201,3.07431072315944
202,2.23762362211983
203,1.80754700353486
204,-1.90903312066541
205,4.31329899056607
206,2.75414171049101
207,0.516383084488439
208,4.03417422352538
209,-0.965483511110619
210,0.271721340897329
211,0.288533952872513
212,3.09733873610912
213,-0.572223315021802
214,3.31469494969724
215,1.68898797031284
216,0.698165574053291
217,-1.15183927875887
218,0.503878890081069
219,1.67228130021385
220,1.65205455063551
221,-0.925206627702437
222,3.28170814531472
223,1.41665881854328
224,3.35656395091928
225,0.00973018670981673
226,0.134825984852796
227,1.6211439627582
228,4.49069274833971
229,2.30244053897968
230,-1.49489328091158
231,0.399380176036402
232,0.453933819022723
233,1.51860078467485
234,3.71447813496252
235,0.509135042714092
236,0.323401805626077
237,2.66443103154177
238,-1.94396679042165
239,2.70678808823959
240,-0.127363035618828
241,0.0357616281310129
242,1.84126872336333
243,0.667694865178873
244,-0.753208150544197
245,0.544365249466864
246,1.03778230857483
247,1.11245751718911
248,3.85048150772036
249,1.50291104716291
250,1.57137415679631
251,-1.30986414482163
252,0.25718179705791
253,3.84182893610023
254,1.30654388988228
255,1.94062484777589
256,1.04977848170347
257,3.56343391723522
258,1.84227925348671
259,0.515644587578777
260,1.23787803357595
261,2.04331057619675
262,-0.487029901839378
263,3.16177332138045
264,0.682733026395908
265,1.36887064768598
266,1.12856134774904
267,3.475816750636
268,1.65269703839022
269,3.61587525958066
270,2.94092393251185
271,2.23268520187457
272,1.28717197238052
273,1.11123677554292
274,0.50644339379653
275,0.828473837850311
276,2.20475253809036
277,0.902886576062656
278,-0.67007654775216
279,-0.141365132077226
280,2.71896450417944
281,3.096264226318
282,2.12698806199955
283,3.25821366507989
284,-0.294464797875207
285,2.60021543259313
286,-0.965008315940622
287,-0.539296375926028
288,2.89512121744656
289,0.937474658717292
290,2.95757853541386
291,2.69558634881241
292,-0.956556104297192
293,0.251547635273255
294,0.327283179925416
295,3.14837268841802
296,0.428830038110732
297,2.81165419789693
298,2.78407637163969
299,-0.198791168386606
300,2.05635658822484
301,0.374435617380186
302,4.47504285237392
303,-0.303491567901574
304,1.00539976088749
305,-1.10103369404465
306,1.23504127786873
307,-0.169325906490826
308,0.324072838121424
309,0.912459864611492
310,1.58628456096574
311,0.376675474196986
312,1.99633606511111
313,2.47646930546091
314,0.294180734643305
315,3.15409152905283
316,4.80902264991914
317,2.34208119791674
318,3.76243410246707
319,1.86776572971667
320,-0.253971124359168
321,1.87207987249622
322,2.35922184516869
323,3.29875746074777
324,0.721838875388471
325,-0.812772153363994
326,2.79333295515175
327,0.22962818048336
328,2.10703438295513
329,-1.5721316037484
330,1.99207416378044
331,1.47045885411876
332,1.96711515533264
333,2.09997553578319
334,-0.400540938773702
335,1.53376095259182
336,4.3212677361812
337,1.18037174769552
338,0.224552096514799
339,5.03604679476155
340,0.44891055782432
341,2.77729238426423
342,2.37156520436633
343,1.17102694781022
344,-0.276500607914159
345,5.21302205484903
346,0.294488791993444
347,1.58036613046283
348,0.723658452543305
