cov_id,hierarchy,granularity,n_cancers_used,eta_obs,eta_perm_median,eta_perm_p95,p_empirical,B
34.1,germ_layer,3a_3bin,12,0.1166179798996297,0.13559338958461326,0.46782892210884097,0.555,1000
34.1,germ_layer,3b_mid,12,0.1792192558751773,0.4477069533391311,0.7836951101285504,0.923,1000
34.1,hoadley,5a_4plus_unassigned,12,0.392078247070813,0.06433592157072385,0.5186885915957399,0.241,1000
34.1,hoadley,5c_iclusters,8,1.0,1.0,1.0000000000000002,0.71,1000
34.1,sex_composition,4_4bin,14,0.0588015469836855,0.040271261373463846,0.23486824522091912,0.356,1000
34.1,tissue_origin,1a_5bin,14,0.1507972323119848,0.23228934760364747,0.969732993176917,0.935,1000
34.1,tissue_origin,1b_11bin,14,0.4419154734149063,0.38779877026526605,0.9858805571914327,0.391,1000
35.1,epithelial_class,2a_3bin,4,0.0019971853463384,0.6638606076298057,0.6653934447136873,1.0,1000
35.1,epithelial_class,2b_6bin,4,0.0019971853463384,0.6638606076298057,0.6653934447136873,1.0,1000
35.1,epithelial_class,2c_10bin,4,1.0,1.0,1.0,1.0,1000
35.1,germ_layer,3a_3bin,4,0.0030597921674995,0.722994132641547,0.9969408706827385,1.0,1000
35.1,germ_layer,3b_mid,4,0.0030597921674995,0.7770692186562069,0.9969408706827385,1.0,1000
35.1,hoadley,5a_4plus_unassigned,4,0.6638606076298057,0.002082095643502248,0.6653934447136873,0.486,1000
35.1,hoadley,5c_iclusters,3,1.0,1.0,1.0,1.0,1000
35.1,sex_composition,4_4bin,4,,,,,0
35.1,tissue_origin,1a_5bin,4,6.62850238074901e-07,0.44477495474731005,0.5552243824024519,0.845,1000
35.1,tissue_origin,1b_11bin,4,6.62850238074901e-07,0.44477495474731005,0.5552243824024519,0.839,1000
36.1,epithelial_class,2a_3bin,6,0.926704637961158,0.25682168855213744,0.9267046379611579,0.041,1000
36.1,epithelial_class,2b_6bin,6,0.6713629460072317,0.6362013920283992,0.969272992051419,0.393,1000
36.1,epithelial_class,2c_10bin,6,0.6713629460072317,0.6365330811558697,0.9854483024221723,0.412,1000
36.1,germ_layer,3a_3bin,5,0.0126223013369054,0.012622301336905437,0.7295761204845695,0.618,1000
36.1,germ_layer,3b_mid,5,0.99763627789719,0.78520462532081,0.99864983782831,0.151,1000
36.1,hoadley,5a_4plus_unassigned,7,0.1133356157476476,0.03473845762207269,0.7304430900931229,0.426,1000
36.1,hoadley,5c_iclusters,4,1.0,1.0,1.0000000000000002,0.737,1000
36.1,sex_composition,4_4bin,8,0.0353014621299247,0.117426180726346,0.7736301797877873,0.7,1000
36.1,tissue_origin,1a_5bin,8,0.0205488905609783,0.45048732631229454,0.8114832828009222,0.993,1000
36.1,tissue_origin,1b_11bin,8,0.0459270184472835,0.6127368006298068,0.950484640878352,0.98,1000
37.1,epithelial_class,2a_3bin,4,0.0011164460672191,0.012039959017209036,0.9868435949155719,1.0,1000
37.1,epithelial_class,2b_6bin,4,0.3915556705901978,0.5392127144140603,0.9970881259883793,1.0,1000
37.1,epithelial_class,2c_10bin,4,0.6095607754770213,0.5392127144140603,0.9970881259883793,0.499,1000
37.1,germ_layer,3a_3bin,3,0.1983809572467993,0.30545540632006574,0.996163636433135,1.0,1000
37.1,germ_layer,3b_mid,3,0.1983809572467993,0.30545540632006574,0.996163636433135,1.0,1000
37.1,hoadley,5a_4plus_unassigned,4,0.381428992671575,0.28034923595430056,0.4305744105863072,0.494,1000
37.1,hoadley,5c_iclusters,3,1.0,1.0,1.0000000000000002,0.673,1000
37.1,sex_composition,4_4bin,4,0.4728272446031487,0.6095607754770213,0.9970881259883791,0.845,1000
37.1,tissue_origin,1a_5bin,4,0.5392127144140603,0.6095607754770213,0.9970881259883793,0.698,1000
37.1,tissue_origin,1b_11bin,4,1.0,1.0,1.0000000000000002,0.744,1000
38.1,epithelial_class,2a_3bin,1,,,,,0
38.1,epithelial_class,2b_6bin,1,,,,,0
38.1,epithelial_class,2c_10bin,1,,,,,0
38.1,germ_layer,3a_3bin,1,,,,,0
38.1,germ_layer,3b_mid,1,,,,,0
38.1,sex_composition,4_4bin,1,,,,,0
38.1,tissue_origin,1a_5bin,1,,,,,0
38.1,tissue_origin,1b_11bin,1,,,,,0
38.2,epithelial_class,2a_3bin,1,,,,,0
38.2,epithelial_class,2b_6bin,1,,,,,0
38.2,epithelial_class,2c_10bin,1,,,,,0
38.2,germ_layer,3a_3bin,1,,,,,0
38.2,germ_layer,3b_mid,1,,,,,0
38.2,sex_composition,4_4bin,1,,,,,0
38.2,tissue_origin,1a_5bin,1,,,,,0
38.2,tissue_origin,1b_11bin,1,,,,,0
38.3,epithelial_class,2a_3bin,1,,,,,0
38.3,epithelial_class,2b_6bin,1,,,,,0
38.3,epithelial_class,2c_10bin,1,,,,,0
38.3,germ_layer,3a_3bin,1,,,,,0
38.3,germ_layer,3b_mid,1,,,,,0
38.3,sex_composition,4_4bin,1,,,,,0
38.3,tissue_origin,1a_5bin,1,,,,,0
38.3,tissue_origin,1b_11bin,1,,,,,0
39.1,epithelial_class,2a_3bin,7,0.3222464917440971,0.32224649174409714,0.7145985745244028,0.506,1000
39.1,epithelial_class,2b_6bin,7,0.0634316476926419,0.3413537041701129,0.7392631970946919,0.829,1000
39.1,epithelial_class,2c_10bin,7,0.0162394672818532,0.3965805652427784,0.7327154959218147,1.0,1000
39.1,germ_layer,3a_3bin,6,0.0646320147220272,0.07985156000135342,0.8346909225131127,0.608,1000
39.1,germ_layer,3b_mid,6,0.7345307057890774,0.8573133848910682,0.999464112782482,0.666,1000
39.1,hoadley,5a_4plus_unassigned,7,,,,,0
39.1,hoadley,5c_iclusters,5,1.0,1.0,1.0000000000000002,0.771,1000
39.1,sex_composition,4_4bin,8,0.0632911782283033,0.029542337793256414,0.5550831325851426,0.474,1000
39.1,tissue_origin,1a_5bin,8,0.4823555792164636,0.4322260758858769,0.8223649108718238,0.469,1000
39.1,tissue_origin,1b_11bin,8,0.6116814759053291,0.634191556442522,0.9130210045233024,0.532,1000
40.1,epithelial_class,2a_3bin,1,,,,,0
40.1,epithelial_class,2b_6bin,1,,,,,0
40.1,epithelial_class,2c_10bin,1,,,,,0
40.1,germ_layer,3a_3bin,1,,,,,0
40.1,germ_layer,3b_mid,1,,,,,0
40.1,hoadley,5a_4plus_unassigned,1,,,,,0
40.1,hoadley,5c_iclusters,1,,,,,0
40.1,sex_composition,4_4bin,1,,,,,0
40.1,tissue_origin,1a_5bin,1,,,,,0
40.1,tissue_origin,1b_11bin,1,,,,,0
41.1,epithelial_class,2a_3bin,1,,,,,0
41.1,epithelial_class,2b_6bin,1,,,,,0
41.1,epithelial_class,2c_10bin,1,,,,,0
41.1,germ_layer,3a_3bin,1,,,,,0
41.1,germ_layer,3b_mid,1,,,,,0
41.1,hoadley,5a_4plus_unassigned,1,,,,,0
41.1,hoadley,5c_iclusters,1,,,,,0
41.1,sex_composition,4_4bin,1,,,,,0
41.1,tissue_origin,1a_5bin,1,,,,,0
41.1,tissue_origin,1b_11bin,1,,,,,0
42.1,epithelial_class,2a_3bin,10,,,,,0
42.1,epithelial_class,2b_6bin,10,0.1702585144516046,0.1415134145308439,0.5663158729423982,0.428,1000
42.1,epithelial_class,2c_10bin,10,0.2690324630566584,0.24273991330801964,0.7314526231586358,0.456,1000
42.1,germ_layer,3a_3bin,7,,,,,0
42.1,germ_layer,3b_mid,7,0.0199664897594327,0.08602160665700041,0.6719807957557716,1.0,1000
42.1,hoadley,5a_4plus_unassigned,7,0.5014556303477173,0.26954596831403427,0.9090635037984947,0.221,1000
42.1,hoadley,5c_iclusters,2,,,,,0
42.1,sex_composition,4_4bin,10,0.1169073024260717,0.06430434007766812,0.5192912903144267,0.123,1000
42.1,tissue_origin,1a_5bin,10,0.3153447999172663,0.2830958265707172,0.71934741190533,0.425,1000
42.1,tissue_origin,1b_11bin,10,0.5402428911680409,0.5575260821816175,0.8933567405124473,0.512,1000
43.1,epithelial_class,2a_3bin,3,,,,,0
43.1,epithelial_class,2b_6bin,3,,,,,0
43.1,epithelial_class,2c_10bin,3,,,,,0
43.1,germ_layer,3a_3bin,2,,,,,0
43.1,germ_layer,3b_mid,2,,,,,0
43.1,hoadley,5a_4plus_unassigned,3,0.0321532792511446,0.5811503771168932,0.8866963436319621,1.0,1000
43.1,hoadley,5c_iclusters,2,,,,,0
43.1,sex_composition,4_4bin,3,0.5811503771168932,0.5811503771168932,0.8866963436319621,0.511,1000
43.1,tissue_origin,1a_5bin,3,1.0,1.0,1.0000000000000002,0.677,1000
43.1,tissue_origin,1b_11bin,3,1.0,1.0,1.0000000000000002,0.666,1000
43.2,epithelial_class,2a_3bin,3,,,,,0
43.2,epithelial_class,2b_6bin,3,,,,,0
43.2,epithelial_class,2c_10bin,3,,,,,0
43.2,germ_layer,3a_3bin,2,,,,,0
43.2,germ_layer,3b_mid,2,,,,,0
43.2,hoadley,5a_4plus_unassigned,3,0.9999907476895452,0.2526388563344632,0.9999907476895452,0.158,1000
43.2,hoadley,5c_iclusters,2,,,,,0
43.2,sex_composition,4_4bin,3,0.2473703959759916,0.2526388563344632,0.9999907476895452,1.0,1000
43.2,tissue_origin,1a_5bin,3,1.0,1.0,1.0000000000000002,0.667,1000
43.2,tissue_origin,1b_11bin,3,1.0,1.0,1.0000000000000002,0.657,1000
44.1,epithelial_class,2a_3bin,5,,,,,0
