block,hierarchy,granularity,n_cancers_with_block,n_cancers_in_test,block_presence_eta,avg_pip_screening_eta,n_covs_in_block
8,germ_layer,3a_3bin,28,22,0.3015873015873017,0.08388795158615774,3
8,germ_layer,3b_mid,28,22,0.9999999999999998,0.42487229166120466,3
8,hoadley,5a_4plus_unassigned,28,24,,0.12431687675260496,3
8,hoadley,5c_iclusters,28,16,,0.88543048760364,3
8,sex_composition,4_4bin,28,29,0.011363636363636341,0.18614911956543664,3
8,tissue_origin,1a_5bin,28,29,0.1714285714285713,0.14649649060995576,3
8,tissue_origin,1b_11bin,28,29,0.9999999999999999,0.33007832729479597,3
9,epithelial_class,2a_3bin,1,27,0.01098901098901099,,0
9,epithelial_class,2b_6bin,1,27,0.04807692307692307,,0
9,epithelial_class,2c_10bin,1,27,0.09134615384615385,,0
9,germ_layer,3a_3bin,1,22,0.06878306878306874,,0
9,germ_layer,3b_mid,1,22,0.0833333333333333,,0
9,hoadley,5a_4plus_unassigned,1,24,0.03678929765886287,,0
9,hoadley,5c_iclusters,1,16,1.0,,0
9,sex_composition,4_4bin,1,29,0.011363636363636359,,0
9,tissue_origin,1a_5bin,1,29,0.22321428571428562,,0
9,tissue_origin,1b_11bin,1,29,0.22321428571428567,,0
10,epithelial_class,2a_3bin,27,27,0.352,0.0432027692207139,1
10,epithelial_class,2b_6bin,27,27,0.73,0.2000101704799859,1
10,epithelial_class,2c_10bin,27,27,0.568,0.8996565661009669,1
10,germ_layer,3a_3bin,27,22,0.3015873015873017,0.0053794894636973,1
10,germ_layer,3b_mid,27,22,0.9999999999999998,0.2169660012364678,1
10,hoadley,5a_4plus_unassigned,27,24,0.036789297658862824,0.12870131879885,1
10,hoadley,5c_iclusters,27,16,,0.97421129860981,1
10,sex_composition,4_4bin,27,29,0.21885521885521886,0.0238749641822475,1
10,tissue_origin,1a_5bin,27,29,0.08215488215488215,0.1064862807752542,1
10,tissue_origin,1b_11bin,27,29,0.6419753086419755,0.2919147206130927,1
11,epithelial_class,2a_3bin,4,27,0.049689440993788817,,0
11,epithelial_class,2b_6bin,4,27,0.09161490683229812,0.7035548300578612,1
11,epithelial_class,2c_10bin,4,27,0.8043478260869563,0.8129136127592795,1
11,germ_layer,3a_3bin,4,22,0.03580246913580248,0.7035548300578612,1
11,germ_layer,3b_mid,4,22,0.17500000000000007,0.7035548300578612,1
11,hoadley,5a_4plus_unassigned,4,24,0.4980769230769231,0.8129136127592796,1
11,hoadley,5c_iclusters,4,16,1.0,0.5659843652782756,1
11,sex_composition,4_4bin,4,29,0.050909090909090904,,0
11,tissue_origin,1a_5bin,4,29,0.13878787878787877,0.7035548300578612,1
