cov_id,hierarchy,granularity,n_groups,n_groups_total,n_singleton_groups,n_cancers_used,F,p_value,eta_squared,hoadley_flag,degenerate_majority_singletons
0.0,epithelial_class,2a_3bin,3,3,1,27,,,,FALSE,FALSE
0.0,epithelial_class,2b_6bin,6,6,2,27,,,,FALSE,FALSE
0.0,epithelial_class,2c_10bin,10,10,5,27,,,,FALSE,FALSE
0.0,germ_layer,3a_3bin,3,3,0,22,,,,FALSE,FALSE
0.0,germ_layer,3b_mid,8,8,4,22,,,,FALSE,FALSE
0.0,hoadley,5a_4plus_unassigned,5,5,0,24,,,,TRUE,FALSE
0.0,hoadley,5c_iclusters,14,14,12,16,,,,TRUE,TRUE
0.0,sex_composition,4_4bin,4,4,1,29,,,,FALSE,FALSE
0.0,tissue_origin,1a_5bin,5,5,0,29,,,,FALSE,FALSE
0.0,tissue_origin,1b_11bin,11,11,3,29,,,,FALSE,FALSE
0.5,epithelial_class,2a_3bin,3,3,1,27,0.8090082052125579,0.45707651386058645,0.06315931665055352,FALSE,FALSE
0.5,epithelial_class,2b_6bin,6,6,2,27,0.377539015434939,0.8584100975737352,0.08247641673002051,FALSE,FALSE
0.5,epithelial_class,2c_10bin,10,10,5,27,1.208627924196302,0.35126762633951614,0.39019253070413024,FALSE,FALSE
0.5,germ_layer,3a_3bin,3,3,0,22,0.6350987572459924,0.5407647748876196,0.0626633022980594,FALSE,FALSE
0.5,germ_layer,3b_mid,8,8,4,22,0.44773922727787346,0.8557645163979427,0.1829194966065906,FALSE,FALSE
0.5,hoadley,5a_4plus_unassigned,5,5,0,24,1.3568538464631603,0.2858837676169867,0.22218541340218895,TRUE,FALSE
0.5,hoadley,5c_iclusters,14,14,12,16,1.5344081089263812,0.46263460570481,0.908872640076442,TRUE,TRUE
0.5,sex_composition,4_4bin,4,4,1,29,2.57774154756659,0.07624629393095772,0.23625000980233252,FALSE,FALSE
0.5,tissue_origin,1a_5bin,5,5,0,29,0.37017648962609667,0.8274920343396043,0.058110868706531746,FALSE,FALSE
0.5,tissue_origin,1b_11bin,11,11,3,29,0.8849214845021953,0.5636428769343286,0.32958933421707315,FALSE,FALSE
1.1,epithelial_class,2a_3bin,3,3,1,27,3.326962012690706,0.053052026797884864,0.21706597888974893,FALSE,FALSE
1.1,epithelial_class,2b_6bin,6,6,2,27,1.576943104751245,0.20988610471812927,0.2729718946780502,FALSE,FALSE
1.1,epithelial_class,2c_10bin,10,10,5,27,3.4055230117042194,0.01424764967597484,0.6432297062725162,FALSE,FALSE
1.1,germ_layer,3a_3bin,3,3,0,22,0.484478825275681,0.6234231821122405,0.048523196228252255,FALSE,FALSE
1.1,germ_layer,3b_mid,8,8,4,22,2.0470447145135395,0.12029413572657256,0.5058122306315059,FALSE,FALSE
1.1,hoadley,5a_4plus_unassigned,5,5,0,24,1.8438607427594955,0.1621170133527985,0.27963295172470526,TRUE,FALSE
1.1,hoadley,5c_iclusters,14,14,12,16,11.855676398383052,0.08038961871456907,0.9871896527795273,TRUE,TRUE
1.1,sex_composition,4_4bin,4,4,1,29,0.5903481222159529,0.627065347066591,0.06615522137994277,FALSE,FALSE
1.1,tissue_origin,1a_5bin,5,5,0,29,1.202868101981747,0.33531020356896524,0.16699849073326753,FALSE,FALSE
1.1,tissue_origin,1b_11bin,11,11,3,29,1.5747297981341661,0.19296397087084666,0.46662396468150097,FALSE,FALSE
2.1,epithelial_class,2a_3bin,3,3,1,27,2.7813073787958986,0.08196355242734518,0.18816382797003076,FALSE,FALSE
2.1,epithelial_class,2b_6bin,6,6,2,27,0.7748182732209647,0.5786768815278045,0.15574805564089594,FALSE,FALSE
2.1,epithelial_class,2c_10bin,10,10,5,27,0.4842604103971055,0.8654995929514875,0.20405813091608022,FALSE,FALSE
2.1,germ_layer,3a_3bin,3,3,0,22,3.5392470448410998,0.049371391818933553,0.2714303235968967,FALSE,FALSE
2.1,germ_layer,3b_mid,8,8,4,22,2.197363134614182,0.09947080776910425,0.5235103716648434,FALSE,FALSE
2.1,hoadley,5a_4plus_unassigned,5,5,0,24,0.7561908626325428,0.5663863885607818,0.13733466229156527,TRUE,FALSE
2.1,hoadley,5c_iclusters,14,14,12,16,498.06629498105383,0.0020054412378234607,0.9996912084816649,TRUE,TRUE
2.1,sex_composition,4_4bin,4,4,1,29,0.4539310902536181,0.7168314322649899,0.051657838932804546,FALSE,FALSE
2.1,tissue_origin,1a_5bin,5,5,0,29,2.5049463663809957,0.06890804973293571,0.29452817907032774,FALSE,FALSE
2.1,tissue_origin,1b_11bin,11,11,3,29,0.8787654932279136,0.5684159190388773,0.3280486834138663,FALSE,FALSE
3.1,epithelial_class,2a_3bin,3,3,1,18,1.3009529588945388,0.30129139465692484,0.1478195560152099,FALSE,FALSE
3.1,epithelial_class,2b_6bin,5,6,2,18,0.5879546272278491,0.6771775486049669,0.15319478324644192,FALSE,FALSE
3.1,epithelial_class,2c_10bin,7,10,3,18,1.4384030604416251,0.28424832458537636,0.4396451569809948,FALSE,FALSE
3.1,germ_layer,3a_3bin,3,3,1,13,0.11164895186433732,0.8954573779060838,0.021842061713493933,FALSE,FALSE
3.1,germ_layer,3b_mid,6,8,4,13,0.3230156520146205,0.8841192835527749,0.18747110720493884,FALSE,TRUE
3.1,hoadley,5a_4plus_unassigned,4,5,0,16,5.492351075195631,0.013113287963185567,0.5786080847291499,TRUE,FALSE
3.1,hoadley,5c_iclusters,9,14,9,9,,,1.0,TRUE,TRUE
3.1,sex_composition,4_4bin,4,4,1,19,0.38006986788997904,0.7687827234545139,0.07064403943122759,FALSE,FALSE
3.1,tissue_origin,1a_5bin,4,5,0,19,0.5413026592088682,0.6613297846112297,0.09768509184556076,FALSE,FALSE
3.1,tissue_origin,1b_11bin,8,11,2,19,0.2734884716790478,0.951798843011225,0.14823889925065556,FALSE,FALSE
3.2,epithelial_class,2a_3bin,3,3,1,18,0.5298678408361153,0.5993030583799196,0.06598711851040162,FALSE,FALSE
3.2,epithelial_class,2b_6bin,5,6,2,18,0.6512796402907524,0.6360991205797439,0.1669400043935877,FALSE,FALSE
3.2,epithelial_class,2c_10bin,7,10,3,18,0.2838727681149831,0.9326952006852685,0.13407894862989223,FALSE,FALSE
3.2,germ_layer,3a_3bin,3,3,1,13,0.7821239670999158,0.48351842583778426,0.1352658593192007,FALSE,FALSE
3.2,germ_layer,3b_mid,6,8,4,13,0.7559895953885905,0.6079996714358539,0.35064621694166054,FALSE,TRUE
3.2,hoadley,5a_4plus_unassigned,4,5,0,16,1.10971098793221,0.38336795673677887,0.2171768600128372,TRUE,FALSE
3.2,hoadley,5c_iclusters,9,14,9,9,,,1.0,TRUE,TRUE
3.2,sex_composition,4_4bin,4,4,1,19,8.566055237993996,0.0014930331585216827,0.6314330207062208,FALSE,FALSE
3.2,tissue_origin,1a_5bin,4,5,0,19,1.6566526398682349,0.2187548117669575,0.24887172720207132,FALSE,FALSE
3.2,tissue_origin,1b_11bin,8,11,2,19,1.7992839643916096,0.18435907816403269,0.5337992917731257,FALSE,FALSE
4.1,epithelial_class,2a_3bin,3,3,1,21,0.5405974016435722,0.5915649819955163,0.05666284603419515,FALSE,FALSE
4.1,epithelial_class,2b_6bin,6,6,3,21,0.3483647925846412,0.8753707605430544,0.10404027463080995,FALSE,FALSE
4.1,epithelial_class,2c_10bin,9,10,5,21,0.53587990509269,0.808723862074607,0.263217837040487,FALSE,TRUE
4.1,germ_layer,3a_3bin,3,3,0,19,1.004003546646699,0.3883601290867272,0.1115063473093159,FALSE,FALSE
4.1,germ_layer,3b_mid,8,8,5,19,0.6055993946887367,0.7407460863976789,0.2781771314443943,FALSE,TRUE
4.1,hoadley,5a_4plus_unassigned,4,5,0,18,0.6005656017641204,0.6252107350372683,0.11401919853878795,TRUE,FALSE
4.1,hoadley,5c_iclusters,10,14,8,12,107.28668203809077,0.009267966791904919,0.9979329877487715,TRUE,TRUE
4.1,sex_composition,4_4bin,1,4,0,22,,,,FALSE,TRUE
4.1,tissue_origin,1a_5bin,5,5,0,22,1.1388547164901202,0.37168691901671896,0.2113352050492616,FALSE,FALSE
4.1,tissue_origin,1b_11bin,9,11,3,22,0.46048210952944196,0.8627709048451684,0.22080367288949934,FALSE,FALSE
5.1,epithelial_class,2a_3bin,3,3,1,27,0.04039452446313028,0.9604756116327248,0.0033549170154730753,FALSE,FALSE
5.1,epithelial_class,2b_6bin,6,6,2,27,0.43409386423028934,0.8196832505678467,0.09367394725881129,FALSE,FALSE
5.1,epithelial_class,2c_10bin,10,10,5,27,2.322905823358244,0.06428824445650973,0.551523989667316,FALSE,FALSE
5.1,germ_layer,3a_3bin,3,3,0,22,0.5927314603829863,0.5627188052859068,0.05872854763942113,FALSE,FALSE
5.1,germ_layer,3b_mid,8,8,4,22,0.6922612896156765,0.6780228409644364,0.2571300535671624,FALSE,FALSE
5.1,hoadley,5a_4plus_unassigned,5,5,0,24,1.8962892783150473,0.15258737942956493,0.28531548942687474,TRUE,FALSE
5.1,hoadley,5c_iclusters,14,14,12,16,9.306004004393897,0.10109591239920687,0.9837369354405529,TRUE,TRUE
5.1,sex_composition,4_4bin,4,4,1,29,2.18333254645433,0.11508412992088768,0.20760691377012847,FALSE,FALSE
5.1,tissue_origin,1a_5bin,5,5,0,29,0.3678105238945826,0.8291325289531603,0.0577609089520503,FALSE,FALSE
5.1,tissue_origin,1b_11bin,11,11,3,29,0.5422028889909671,0.8381129207142763,0.2314927078006255,FALSE,FALSE
6.1,epithelial_class,2a_3bin,1,3,1,1,,,,FALSE,TRUE
6.1,epithelial_class,2b_6bin,1,6,1,1,,,,FALSE,TRUE
6.1,epithelial_class,2c_10bin,1,10,1,1,,,,FALSE,TRUE
6.1,hoadley,5a_4plus_unassigned,1,5,1,1,,,,TRUE,TRUE
6.1,hoadley,5c_iclusters,1,14,1,1,,,,TRUE,TRUE
6.1,sex_composition,4_4bin,1,4,1,1,,,,FALSE,TRUE
6.1,tissue_origin,1a_5bin,1,5,1,1,,,,FALSE,TRUE
6.1,tissue_origin,1b_11bin,1,11,1,1,,,,FALSE,TRUE
7.1,epithelial_class,2a_3bin,1,3,1,1,,,,FALSE,TRUE
7.1,epithelial_class,2b_6bin,1,6,1,1,,,,FALSE,TRUE
7.1,epithelial_class,2c_10bin,1,10,1,1,,,,FALSE,TRUE
7.1,germ_layer,3a_3bin,1,3,1,1,,,,FALSE,TRUE
7.1,germ_layer,3b_mid,1,8,1,1,,,,FALSE,TRUE
7.1,sex_composition,4_4bin,1,4,1,1,,,,FALSE,TRUE
7.1,tissue_origin,1a_5bin,1,5,1,1,,,,FALSE,TRUE
7.1,tissue_origin,1b_11bin,1,11,1,1,,,,FALSE,TRUE
7.2,epithelial_class,2a_3bin,1,3,1,1,,,,FALSE,TRUE
7.2,epithelial_class,2b_6bin,1,6,1,1,,,,FALSE,TRUE
7.2,epithelial_class,2c_10bin,1,10,1,1,,,,FALSE,TRUE
7.2,germ_layer,3a_3bin,1,3,1,1,,,,FALSE,TRUE
7.2,germ_layer,3b_mid,1,8,1,1,,,,FALSE,TRUE
7.2,sex_composition,4_4bin,1,4,1,1,,,,FALSE,TRUE
7.2,tissue_origin,1a_5bin,1,5,1,1,,,,FALSE,TRUE
7.2,tissue_origin,1b_11bin,1,11,1,1,,,,FALSE,TRUE
7.3,epithelial_class,2a_3bin,1,3,1,1,,,,FALSE,TRUE
