cov_id,hierarchy,granularity,n_cancers,eta_obs,perm_median,perm_p99,perm_p999,p_empirical,bonf_threshold_0.05_319,bonf_pass,B
26.1,hoadley,5a_4plus_unassigned,3,0.9739777810821335,0.40088350437663495,0.9739777810821335,0.9739777810821335,0.3455,0.00015673981191222572,no,10000
3.2,sex_composition,4_4bin,19,0.6314330207062208,0.13732590941332418,0.5504006639711679,0.6712930412862279,0.0026,0.00015673981191222572,no,10000
8.2,epithelial_class,2a_3bin,26,0.8138544909696919,0.024563571609475872,0.8063475675023541,0.8306858202720698,0.0057,0.00015673981191222572,no,10000
20.1,germ_layer,3b_mid,16,0.8134336371998991,0.21446652032921532,0.7958143826684612,0.8593987453702436,0.0072,0.00015673981191222572,no,10000
10.1,epithelial_class,2c_10bin,25,0.899656566100967,0.25289124270697366,0.9174862103864605,0.9444014117152016,0.0185,0.00015673981191222572,no,10000
3.1,hoadley,5a_4plus_unassigned,16,0.5786080847291499,0.1700188733924362,0.6320079632833316,0.8046535047484522,0.0201,0.00015673981191222572,no,10000
2.1,hoadley,5c_iclusters,16,0.9996912084816648,0.9679116760048281,0.999940255630938,0.9999949593067426,0.0225,0.00015673981191222572,no,10000
31.1,tissue_origin,1b_11bin,8,0.9999411164778143,0.9805367180168302,0.9999411164778145,0.9999411164778145,0.0378,0.00015673981191222572,no,10000
8.2,germ_layer,3b_mid,21,0.8839597739191153,0.18836438738858857,0.9220242240087206,0.9540504331881435,0.0487,0.00015673981191222572,no,10000
1.1,epithelial_class,2c_10bin,27,0.6432297062725163,0.3335239684357628,0.7299016052915878,0.8549048918141278,0.0385,0.00015673981191222572,no,10000
26.1,epithelial_class,2b_6bin,6,0.9566657740099604,0.2380074740617171,0.9566657740099604,0.9566657740099604,0.0431,0.00015673981191222572,no,10000
36.1,epithelial_class,2a_3bin,6,0.9267046379611582,0.2568216885521374,0.9267046379611582,0.9267046379611582,0.0253,0.00015673981191222572,no,10000
26.1,epithelial_class,2a_3bin,6,0.8734661872536471,0.07145018428329641,0.8734661872536472,0.8734661872536472,0.1651,0.00015673981191222572,no,10000
22.1,tissue_origin,1b_11bin,12,0.8449217724310111,0.44747652815117367,0.9241711651607423,0.962746831027272,0.0461,0.00015673981191222572,no,10000
8.3,sex_composition,4_4bin,28,0.48159131328567356,0.03359312689654663,0.8531119460408202,0.8755807538834559,0.0502,0.00015673981191222572,no,10000
26.1,epithelial_class,2c_10bin,6,0.9566657740099604,0.23800747406171716,0.9566657740099604,0.9566657740099604,0.0419,0.00015673981191222572,no,10000
