"spec","cov_id","rule","pair_key","anchor","obs_diff","ci_lo","ci_med","ci_hi","bonf_p","ci_excludes_zero","bonf_pass","verdict"
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","paper1_primary",-5.44178602131797,-10.945748758455,-5.2957905969206,0.310164132702651,0.0659340659340659,FALSE,FALSE,"INCONCLUSIVE"
"spec_01_cov8_2_rule1_pairA",8.2,1,"A","baseline_train",0.814641712071079,-1.23503555365074,0.777437946774569,3.00455820887028,0.45954045954046,FALSE,FALSE,"MATCHES"
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","paper1_primary",-6.76678825293652,-12.3925270477021,-6.64234411150312,-1.08557535087821,0.025974025974026,TRUE,FALSE,"UNDERPERFORMS"
"spec_02_cov8_2_rule1_pairB",8.2,1,"B","baseline_train",-0.510360519547476,-2.86857788772779,-0.556861630385129,2.04809007616539,0.675324675324675,FALSE,FALSE,"MATCHES"
"spec_03_cov8_2_rule2_pairA",8.2,2,"A","paper1_primary",-7.15484669253101,-13.2194587866075,-7.02073741290423,-1.30897127003426,0.015984015984016,TRUE,FALSE,"UNDERPERFORMS"
"spec_03_cov8_2_rule2_pairA",8.2,2,"A","baseline_train",-0.898418959141964,-3.1568800443218,-0.951210309777139,1.41514161383408,0.403596403596404,FALSE,FALSE,"MATCHES"
"spec_04_cov8_2_rule2_pairB",8.2,2,"B","paper1_primary",-6.88276800965264,-12.8743576560172,-6.73832177099803,-1.10356552014284,0.01998001998002,TRUE,FALSE,"UNDERPERFORMS"
"spec_04_cov8_2_rule2_pairB",8.2,2,"B","baseline_train",-0.626340276263591,-2.50778544911896,-0.637160687949176,1.14195873718451,0.457542457542458,FALSE,FALSE,"MATCHES"
"spec_05_cov8_2_rule3_pairA",8.2,3,"A","paper1_primary",-6.13466282579816,-11.9295389505348,-5.96356454698866,-0.294302417098232,0.03996003996004,TRUE,FALSE,"UNDERPERFORMS"
"spec_05_cov8_2_rule3_pairA",8.2,3,"A","baseline_train",0.121764907590887,-2.68906187360053,0.0994682946820831,3.04267729893085,0.961038961038961,FALSE,FALSE,"MATCHES"
"spec_06_cov8_2_rule3_pairB",8.2,3,"B","paper1_primary",-7.85023937575602,-13.8865913177015,-7.6685774540768,-1.88463101118625,0.011988011988012,TRUE,FALSE,"UNDERPERFORMS"
"spec_06_cov8_2_rule3_pairB",8.2,3,"B","baseline_train",-1.59381164236697,-4.9902278020127,-1.59415880968385,1.85267656757536,0.327672327672328,FALSE,FALSE,"MATCHES"
"spec_07_cov10_1_rule1_pairA",10.1,1,"A","paper1_primary",-6.56057285684892,-12.7307471388752,-6.39113094300649,-0.201496930134243,0.045954045954046,TRUE,FALSE,"UNDERPERFORMS"
"spec_07_cov10_1_rule1_pairA",10.1,1,"A","baseline_train",-0.304145123459875,-2.29928045043581,-0.3077929362899,1.70854315494505,0.767232767232767,FALSE,FALSE,"MATCHES"
"spec_08_cov10_1_rule1_pairB",10.1,1,"B","paper1_primary",-5.44739601002607,-11.2288809845895,-5.35234710079618,0.341886378161583,0.0619380619380619,FALSE,FALSE,"INCONCLUSIVE"
"spec_08_cov10_1_rule1_pairB",10.1,1,"B","baseline_train",0.809031723362978,-1.4856099141826,0.777741622006715,3.03491741002147,0.509490509490509,FALSE,FALSE,"MATCHES"
"spec_09_cov10_1_rule2_pairA",10.1,2,"A","paper1_primary",-6.82384043367892,-13.3168212282003,-6.69522566744399,-0.205422506874255,0.03996003996004,TRUE,FALSE,"UNDERPERFORMS"
"spec_09_cov10_1_rule2_pairA",10.1,2,"A","baseline_train",-0.567412700289879,-2.55926836647942,-0.532279555618288,1.4129185343647,0.557442557442557,FALSE,FALSE,"MATCHES"
"spec_10_cov10_1_rule2_pairB",10.1,2,"B","paper1_primary",-7.47988159827969,-13.8950740387529,-7.24802956589201,-1.26700071525329,0.015984015984016,TRUE,FALSE,"UNDERPERFORMS"
"spec_10_cov10_1_rule2_pairB",10.1,2,"B","baseline_train",-1.22345386489064,-3.11632842639155,-1.26914676336844,0.685907709088474,0.185814185814186,FALSE,FALSE,"MATCHES"
"spec_11_cov10_1_rule3_pairA",10.1,3,"A","paper1_primary",-6.01077498791142,-11.9444360059156,-5.89894505907222,0.173493329660174,0.0559440559440559,FALSE,FALSE,"INCONCLUSIVE"
"spec_11_cov10_1_rule3_pairA",10.1,3,"A","baseline_train",0.245652745477628,-1.75917874282434,0.269480265737343,2.24567344320823,0.793206793206793,FALSE,FALSE,"MATCHES"
"spec_12_cov10_1_rule3_pairB",10.1,3,"B","paper1_primary",-5.37492454686867,-10.9164953585245,-5.34691365936169,0.616412572907435,0.0819180819180819,FALSE,FALSE,"INCONCLUSIVE"
"spec_12_cov10_1_rule3_pairB",10.1,3,"B","baseline_train",0.881503186520376,-2.0207215385423,0.911329806158903,3.67197786713336,0.551448551448551,FALSE,FALSE,"MATCHES"
"spec_13_cov1_1_rule1_pairA",1.1,1,"A","paper1_primary",-7.56758310805776,-13.5494555639967,-7.34175436317514,-1.8538541165497,0.015984015984016,TRUE,FALSE,"UNDERPERFORMS"
"spec_13_cov1_1_rule1_pairA",1.1,1,"A","baseline_train",-1.31115537466872,-4.13260321844356,-1.31211124995355,1.54142162472616,0.365634365634366,FALSE,FALSE,"MATCHES"
"spec_14_cov1_1_rule1_pairB",1.1,1,"B","paper1_primary",-4.19524634628965,-9.14403717870235,-3.94626054729088,1.21424479235168,0.135864135864136,FALSE,FALSE,"INCONCLUSIVE"
"spec_14_cov1_1_rule1_pairB",1.1,1,"B","baseline_train",2.0611813870994,-1.63989780897262,2.1060693915374,5.63338139267714,0.27972027972028,FALSE,FALSE,"INCONCLUSIVE"
"spec_15_cov1_1_rule2_pairA",1.1,2,"A","paper1_primary",-8.99045313842566,-15.2463189591913,-8.88492656533504,-3.00120772660525,0.003996003996004,TRUE,FALSE,"UNDERPERFORMS"
"spec_15_cov1_1_rule2_pairA",1.1,2,"A","baseline_train",-2.73402540503662,-5.52706783686599,-2.72531933974972,0.0859968002068047,0.0579420579420579,FALSE,FALSE,"INCONCLUSIVE"
"spec_16_cov1_1_rule2_pairB",1.1,2,"B","paper1_primary",-7.44780751645544,-14.3266085861872,-7.28266890868372,-1.00174699254674,0.025974025974026,TRUE,FALSE,"UNDERPERFORMS"
"spec_16_cov1_1_rule2_pairB",1.1,2,"B","baseline_train",-1.1913797830664,-4.01942117664121,-1.1927505499844,1.77059258707436,0.443556443556444,FALSE,FALSE,"MATCHES"
"spec_17_cov1_1_rule3_pairA",1.1,3,"A","paper1_primary",-6.958804652553,-12.5221430062301,-6.76347418887923,-1.08211257413035,0.017982017982018,TRUE,FALSE,"UNDERPERFORMS"
"spec_17_cov1_1_rule3_pairA",1.1,3,"A","baseline_train",-0.702376919163953,-4.54162598863813,-0.626222513367679,3.03629325862138,0.753246753246753,FALSE,FALSE,"MATCHES"
"spec_18_cov1_1_rule3_pairB",1.1,3,"B","paper1_primary",-3.57593270137204,-8.47655064651437,-3.42964997046965,1.56583150020852,0.191808191808192,FALSE,FALSE,"INCONCLUSIVE"
"spec_18_cov1_1_rule3_pairB",1.1,3,"B","baseline_train",2.68049503201701,-0.44280797238533,2.64414893467176,5.65781609330849,0.0879120879120879,FALSE,FALSE,"INCONCLUSIVE"
